size smiles sa qed qed sa max_or_val 
18 Cc1ccnc(NC(C)c2ccc(Cl)c(O)c2)c1 0.823275004616696 0.8811733208856561 0.8811733208856561 0.823275004616696 1
17 Cc1ccnc(NC(C)c2ccc(Cl)cc2)c1 0.8578234573856505 0.8773595215283052 0.8773595215283052 0.8578234573856505 1
16 COc1cccc(CNc2ccccn2)c1 0.9299899402731714 0.8492625615929046 0.8492625615929046 0.9299899402731714 1
16 Cc1cc(NCc2ccc(Cl)c(O)c2)no1 0.8644443574399288 0.8632711937765409 0.8632711937765409 0.8644443574399288 1
17 N#CC(Nc1ccccn1)c1ccc(Cl)cc1 0.8210076279769639 0.8987706928727264 0.8987706928727264 0.8210076279769639 1
16 Oc1cc(CNc2ccccn2)ccc1Cl 0.8968387981682826 0.8581308623755173 0.8581308623755173 0.8968387981682826 1
20 CO[P@](=O)(O)C(Nc1ccccn1)c1cccc(O)c1 0.7399903657200265 0.7343481241830363 0.7343481241830363 0.7399903657200265 0
14 CON(C)Cc1cc(O)c(Cl)c(O)c1 0.788306546149707 0.7578046706894946 0.7578046706894946 0.788306546149707 0
18 Cc1ccnc(NC(C)c2ccc(Cl)c(O)c2)c1 0.823275004616696 0.8811733208856561 0.8811733208856561 0.823275004616696 0
15 CC(=O)NC(C)c1cc(O)c(Cl)c(O)c1 0.7976972280978083 0.7260880437388241 0.7260880437388241 0.7976972280978083 0
21 CCNC(=O)C(NC(=O)C(C)C)c1cc(O)c(Cl)c(O)c1 0.7780816962989368 0.6645276539204235 0.6645276539204235 0.7780816962989368 0
21 CO[P@@](=O)(O)C(Nc1cc(C)ccn1)c1ccc(Cl)cc1 0.7473304922291211 0.8129505944068565 0.8129505944068565 0.7473304922291211 0
17 Cc1ccnc(NC(C)c2cccc(O)c2)c1 0.8398019830266761 0.8470663398401408 0.8470663398401408 0.8398019830266761 0
17 CC(Nc1ccccn1)c1cc(O)cc(O)c1 0.8178301881548813 0.7580464831002063 0.7580464831002063 0.8178301881548813 0
21 COP(=O)(OC)C(Nc1ccccn1)c1ccc(Cl)cc1 0.7916529751895376 0.8004461814099078 0.8004461814099078 0.7916529751895376 0
15 Oc1cc(CNCCCCl)cc(O)c1Cl 0.8343872519652934 0.5554434363608988 0.5554434363608988 0.8343872519652934 0
17 N#CC(Nc1ccccn1)c1cccc(O)c1 0.8042211287618934 0.8414357706302947 0.8414357706302947 0.8042211287618934 0
20 COP(=O)(O)C(Nc1ccccn1)c1ccc(Cl)cc1 0.7560771789068397 0.82407994519038 0.82407994519038 0.7560771789068397 0
17 Cc1ccnc(NCc2cc(O)cc(O)c2)c1 0.8677511490262629 0.7572121673340388 0.7572121673340388 0.8677511490262629 0
15 CO[P@@](=O)(O)C(O)c1cc(O)cc(O)c1 0.7006165215764216 0.5790875089074179 0.5790875089074179 0.7006165215764216 0
15 Oc1cc(CNC2CCC2)cc(O)c1Cl 0.855404512753286 0.7433964699039284 0.7433964699039284 0.855404512753286 0
16 Oc1cc(Cc2cccnc2)cc(O)c1Cl 0.8601612805168519 0.8416696573934732 0.8416696573934732 0.8601612805168519 0
