size smiles sa qed qed sa max_or_val 
20 ONOc1c(Cc2ccccc2)ccc2cccnc12 0.8444822229370951 0.7124178091321511 0.7124178091321511 0.8444822229370951 1
19 ONOc1c(CC2CCCS2)ccc2cccnc12 0.7068057285538552 0.840890495706489 0.840890495706489 0.7068057285538552 1
17 CC(C)Cc1ccc2cccnc2c1ONO 0.8103565977442118 0.7957072527768815 0.7957072527768815 0.8103565977442118 1
21 ONOc1c(Cc2ccc(F)cc2)ccc2cccnc12 0.8369026494321548 0.7221510883884893 0.7221510883884893 0.8369026494321548 1
21 Cc1ccc(Cc2ccc3cccnc3c2ONO)cc1 0.8393331664561146 0.719095574748058 0.719095574748058 0.8393331664561146 1
19 ONOc1c(Cc2cccs2)ccc2cccnc12 0.8075136399746875 0.7162943445940417 0.7162943445940417 0.8075136399746875 0
15 OCc1ccc2cccnc2c1ONO 0.803074733967126 0.6530930988135106 0.6530930988135106 0.803074733967126 0
17 O=C(O)Cc1ccc2cccnc2c1ONO 0.8113021105647245 0.686790737885706 0.686790737885706 0.8113021105647245 0
18 CC(C)=CCc1ccc2cccnc2c1ONO 0.7885141231049706 0.6409007490869799 0.6409007490869799 0.7885141231049706 0
19 ONOc1c(Cc2ccsc2)ccc2cccnc12 0.7969617168977643 0.7162943445940417 0.7162943445940417 0.7969617168977643 0
22 C/C=C/CC(NC(C)=O)c1ccc2cccnc2c1ONO 0.7163402121514297 0.5641186133061468 0.5641186133061468 0.7163402121514297 0
21 ONOc1c(Cc2cccc(Cl)c2)ccc2cccnc12 0.8308489293817137 0.7205449789137757 0.7205449789137757 0.8308489293817137 0
21 ONOc1c(Cc2ccccc2F)ccc2cccnc12 0.8291482988646897 0.7221510883884893 0.7221510883884893 0.8291482988646897 0
21 ONOc1c(Cc2ccccc2Br)ccc2cccnc12 0.8203715018911714 0.7053280127476969 0.7053280127476969 0.8203715018911714 0
17 CN(C)Cc1ccc2cccnc2c1ONO 0.8075098028724168 0.7849334715628015 0.7849334715628015 0.8075098028724168 0
22 CCC(=O)NC(c1ccc2cccnc2c1ONO)C1CC1 0.7380714776601145 0.7139458121000178 0.7139458121000178 0.7380714776601145 0
22 NC(c1ccccc1F)c1ccc2cccnc2c1ONO 0.762425390772092 0.6453983571516311 0.6453983571516311 0.762425390772092 0
21 NC(c1ccccc1)c1ccc2cccnc2c1ONO 0.7763656261395879 0.6403441006269319 0.6403441006269319 0.7763656261395879 0
19 ONOc1c(Cc2ccco2)ccc2cccnc12 0.8025097938208412 0.7023490845579826 0.7023490845579826 0.8025097938208412 0
19 N#CC(=O)C(O)c1ccc2cccnc2c1ONO 0.699776239646536 0.5444445585055175 0.5444445585055175 0.699776239646536 0
21 CC(=O)NC(c1ccc2cccnc2c1ONO)C1CC1 0.7369697939639834 0.7334189363261912 0.7334189363261912 0.7369697939639834 0
21 Cc1ccccc1Cc1ccc2cccnc2c1ONO 0.8310564955860011 0.719095574748058 0.719095574748058 0.8310564955860011 0
20 ONOc1c(Cc2ccccc2)ccc2cccnc12 0.8444822229370951 0.7124178091321511 0.7124178091321511 0.8444822229370951 0
23 C=Cc1ccccc1C(N)c1ccc2cccnc2c1ONO 0.7362198704920541 0.6307323436825834 0.6307323436825834 0.7362198704920541 0
24 CC(=O)NC(c1ccccc1)c1ccc2cccnc2c1ONO 0.7744995070241906 0.6288827620131069 0.6288827620131069 0.7744995070241906 0
22 C=Cc1ccccc1Cc1ccc2cccnc2c1ONO 0.8017069934322407 0.703345720168357 0.703345720168357 0.8017069934322407 0
22 NC(c1ccccc1Br)c1ccc2cccnc2c1ONO 0.7566041453508467 0.6222749180263479 0.6222749180263479 0.7566041453508467 0
20 ONOc1c(CC2CCCNC2)ccc2cccnc12 0.742094035859716 0.7440075809706851 0.7440075809706851 0.742094035859716 0
21 ONOc1c(Cc2cccc(F)c2)ccc2cccnc12 0.8301344274901624 0.7221510883884893 0.7221510883884893 0.8301344274901624 0
19 ONOc1c(CC2CCCS2)ccc2cccnc12 0.7068057285538552 0.840890495706489 0.840890495706489 0.7068057285538552 0
17 CC(C)Cc1ccc2cccnc2c1ONO 0.8103565977442118 0.7957072527768815 0.7957072527768815 0.8103565977442118 0
15 NCc1ccc2cccnc2c1ONO 0.7997237500673049 0.6503127961176052 0.6503127961176052 0.7997237500673049 0
19 ONOc1c(Cc2ccc[nH]2)ccc2cccnc12 0.7765743542604017 0.62610492594676 0.62610492594676 0.7765743542604017 0
18 C[N+](C)([O-])Cc1ccc2cccnc2c1ONO 0.7369128501034624 0.635123204878601 0.635123204878601 0.7369128501034624 0
21 ONOc1c(Cc2ccc(F)cc2)ccc2cccnc12 0.8369026494321548 0.7221510883884893 0.7221510883884893 0.8369026494321548 0
21 Cc1ccc(Cc2ccc3cccnc3c2ONO)cc1 0.8393331664561146 0.719095574748058 0.719095574748058 0.8393331664561146 0
21 ONOc1c(Cc2ccc(Br)cc2)ccc2cccnc12 0.8307889041610326 0.7053280127476969 0.7053280127476969 0.8307889041610326 0
