size smiles rges sa qed qed sa max_or_val 
30 N=NC1=Cc2cc1cnc2NC(c1ccc(Cl)cc1)c1ccc2cccnc2c1O 8.458270489067042 0.6457482278094431 0.34781301124814434 0.34781301124814434 0.6457482278094431 1
23 N=NC1=Cc2cc1cnc2N[C@H]1CCCCC1c1ccncc1 2.8727978472198337 0.6009299156784059 0.8190348457945583 0.8190348457945583 0.6009299156784059 1
18 N=NC1=Cc2cc1cnc2Nc1cccc(F)c1 6.0176218940464326 0.6976135564779522 0.8011943664180872 0.8011943664180872 0.6976135564779522 1
18 CC(Nc1ncc2cc1C=C2N=N)c1nccs1 3.9139939437366493 0.5974985867308309 0.8223419429140131 0.8223419429140131 0.5974985867308309 1
17 N=NC1=Cc2cc1cnc2NCc1cncs1 3.9608780369961325 0.6300977765052892 0.8104855241070139 0.8104855241070139 0.6300977765052892 1
22 CC(Nc1ncc2cc1C=C2N=N)c1ccc2c(c1)CCO2 2.715733921900767 0.6335154549116803 0.8356490220404521 0.8356490220404521 0.6335154549116803 1
17 N=NC1=Cc2cc1cnc2NCc1cccs1 3.195285054882336 0.6686977765052892 0.8045696359311861 0.8045696359311861 0.6686977765052892 1
18 Cc1ccc(CNc2ncc3cc2C=C3N=N)o1 3.897443015527447 0.6674573434602009 0.803679662879047 0.803679662879047 0.6674573434602009 1
17 N=NC1=Cc2cc1cnc2NCc1nccs1 3.2813685049605965 0.644286084197597 0.8104855241070139 0.8104855241070139 0.644286084197597 1
18 CC(Nc1ncc2cc1C=C2N=N)c1cscn1 3.224808834528141 0.5731476991568665 0.8223419429140131 0.8223419429140131 0.5731476991568665 1
17 N=NC1=Cc2cc1cnc2NCc1ccsc1 3.809067916456394 0.6587285457360585 0.8045696359311861 0.8045696359311861 0.6587285457360585 1
18 N=NC1=Cc2cc1cnc2NCc1ccccc1 4.6281489773013 0.714700482904211 0.797453056042018 0.797453056042018 0.714700482904211 1
18 N=NC1=Cc2cc1cnc2NCCc1ccsc1 4.885987799740349 0.6642888718737321 0.8021735069761647 0.8021735069761647 0.6642888718737321 1
22 CO[P@](=O)(O)C(Nc1ncc2cc1C=C2N=N)C1CCCC1 4.682772173607245 0.5267702968807814 0.546679701821485 0.546679701821485 0.5267702968807814 0
14 CC(C)Nc1ncc2cc1C=C2N=N 3.5063328649191368 0.6365942192068557 0.7162392015549671 0.7162392015549671 0.6365942192068557 0
23 N=NC1=Cc2cc1cnc2N[C@H]1CCCCC1c1ccncc1 2.8727978472198337 0.6009299156784059 0.8190348457945583 0.8190348457945583 0.6009299156784059 0
23 CO[P@@](=O)(O)C(Nc1ncc2cc1C=C2N=N)C1CCCCC1 4.273628873383117 0.5351602045750297 0.5358227767345 0.5358227767345 0.5351602045750297 0
14 CCCNc1ncc2cc1C=C2N=N 2.31950353163888 0.6498528188123784 0.7134624075458132 0.7134624075458132 0.6498528188123784 0
17 C/C(=C\CNc1ncc2cc1C=C2N=N)CO 2.9959458367292378 0.6112937124027251 0.535789502100935 0.535789502100935 0.6112937124027251 0
23 N=NC1=Cc2cc1cnc2NC(CC(=O)C1CC1)c1ccco1 3.153349928183559 0.5989723114908938 0.7550428861239737 0.7550428861239737 0.5989723114908938 0
20 COP(=O)(O)C(Nc1ncc2cc1C=C2N=N)C1CC1 4.321309862637577 0.5058301976612573 0.5519684928959748 0.5519684928959748 0.5058301976612573 0
18 N=NC1=Cc2cc1cnc2Nc1cccc(F)c1 6.0176218940464326 0.6976135564779522 0.8011943664180872 0.8011943664180872 0.6976135564779522 0
19 CC(Nc1ncc2cc1C=C2N=N)C1CCCCC1 3.15706607005078 0.6217025435120689 0.7886234134076372 0.7886234134076372 0.6217025435120689 0
19 N=NC1=Cc2cc1cnc2Nc1ccc(Cl)cc1Cl 3.859434583062325 0.6932459927284389 0.7837128190946041 0.7837128190946041 0.6932459927284389 0
16 CC(C)(CN)Nc1ncc2cc1C=C2N=N 3.495501975942139 0.6160339623859328 0.6745254558636877 0.6745254558636877 0.6160339623859328 0
17 CC(Nc1ncc2cc1C=C2N=N)C(C)(C)O 2.898924623186715 0.5793866868713659 0.697430983374744 0.697430983374744 0.5793866868713659 0
14 C#CCNc1ncc2cc1C=C2N=N 1.2662322319962174 0.5968597418893017 0.5568881243562802 0.5568881243562802 0.5968597418893017 0
14 N=NC1=Cc2cc1cnc2NC1CC1 3.4898516935247734 0.6460205111200708 0.7122123764300899 0.7122123764300899 0.6460205111200708 0
18 CC(Nc1ncc2cc1C=C2N=N)c1nccs1 3.9139939437366493 0.5974985867308309 0.8223419429140131 0.8223419429140131 0.5974985867308309 0
17 N=NC1=Cc2cc1cnc2NCc1ccoc1 4.40059677429629 0.6467586995822123 0.7862495971587938 0.7862495971587938 0.6467586995822123 0
15 CCC(C)Nc1ncc2cc1C=C2N=N 3.0224830084265917 0.5973697541398102 0.7366255813426048 0.7366255813426048 0.5973697541398102 0
18 CC(Nc1ncc2cc1C=C2N=N)c1cccs1 2.3662374081226787 0.6167240305178132 0.8067665977889742 0.8067665977889742 0.6167240305178132 0
17 N=NC1=Cc2cc1cnc2NCc1cncs1 3.9608780369961325 0.6300977765052892 0.8104855241070139 0.8104855241070139 0.6300977765052892 0
19 CC(Nc1ncc2cc1C=C2N=N)c1ccccc1 2.5731913988783592 0.6595780679875934 0.8024130504204087 0.8024130504204087 0.6595780679875934 0
23 CO[P@@](=O)(O)C(Nc1ncc2cc1C=C2N=N)c1ccccc1 2.6731497020078754 0.5728721572377515 0.5503066672659743 0.5503066672659743 0.5728721572377515 0
