size smiles plogp qed sa rges rges qed sa max_or_val 
25 CN(CC1=CNN=C1C1=CC=CN=C1)CC1COC2=CC=CC=C2O1 -0.45514869379038725 0.7760894146555826 0.7557057006899569 3.547520704877903 2.874179730800023 0.7760894146555826 0.7557057006899569 1
27 Cc1cc(-c2n[nH]c3c2CN(CC2=COc4ccccc4O2)C3)cnc1C 0.5337314675680176 0.7712647013913067 0.757421274174224 0.8199274487784787 0.6908146265966062 0.7712647013913067 0.757421274174224 1
28 CC=CN1Cc2c(-c3ccc(C)nc3)n[nH]c2C1=C1COc2ccccc2O1 0.872718271472424 0.727823324372313 0.7337109190524913 1.7778959508846341 1.24711281056668 0.727823324372313 0.7337109190524913 1
28 CCN(CC1=COc2ccccc2O1)Cc1c[nH]nc1-c1cncc(C)c1C 0.7713811732860574 0.6977011462966096 0.7275712414762282 4.575439025500172 2.4752242058300222 0.6977011462966096 0.7275712414762282 1
27 C=Cc1ccc(-c2n[nH]cc2CN(C)CC2=COc3ccccc3O2)cn1 0.38933762141417105 0.7231484814055151 0.7255597357126855 5.420672416109259 4.1818908393765115 0.7231484814055151 0.7255597357126855 1
28 CC=C1c2[nH]nc(-c3cccnc3C)c2CN1CC1=COc2ccccc2O1 0.7755284028045075 0.7438656497783096 0.7229120447560561 3.1026640802248218 2.4042398769147666 0.7438656497783096 0.7229120447560561 1
27 C=CN1Cc2c(-c3cccnc3)n[nH]c2C1=C1Oc2ccccc2OC1=C 0.6397008151824295 0.7493980254808479 0.7283556461313807 3.101223400785046 3.406541422612924 0.7493980254808479 0.7283556461313807 1
27 C=C1Oc2ccccc2OC1=CN1Cc2c(-c3cccnc3)n[nH]c2C1=C 0.5847438531571134 0.749398025480848 0.7222493170174568 3.1232558487707873 2.536306636647848 0.749398025480848 0.7222493170174568 1
26 C=CN(CC1=COc2ccccc2O1)Cc1c[nH]nc1-c1cccnc1 0.1876276533934833 0.7367278524999263 0.7175141837103869 5.394136160941384 4.902129068219026 0.7367278524999263 0.7175141837103869 1
28 CC=C1c2[nH]nc(-c3cnccc3C)c2CN1CC1=COc2ccccc2O1 0.7555578587144502 0.7438656497783096 0.7206930954127163 2.052852875496875 3.2308789514531844 0.7438656497783096 0.7206930954127163 1
28 C=CN1Cc2c(-c3cncc(C)c3)n[nH]c2C1=C1COc2cc(C)ccc2O1 0.7457777544826394 0.730839419688243 0.728681972720293 1.239224092647909 0.9265069536114943 0.730839419688243 0.728681972720293 1
28 Cc1cc(C)c(-c2n[nH]cc2CN(C)CC2=COc3ccccc3O2)c(C)n1 0.7787691861065698 0.7249806742700008 0.7374676873451741 4.179690562768762 4.009283898512852 0.7249806742700008 0.7374676873451741 1
28 Cc1ccc(-c2n[nH]c(C)c2CN(C)CC2=COc3ccccc3O2)c(C)n1 0.9936597630296484 0.7249806742700007 0.761344418114405 3.9911045723054954 2.5394310332757346 0.7249806742700007 0.761344418114405 1
28 C=C1c2[nH]nc(-c3ccc(CC)nc3)c2CN1CC1=COc2ccccc2O1 0.7068763202529134 0.7459244277535089 0.730408480028101 4.272939846349524 4.768588134514839 0.7459244277535089 0.730408480028101 1
27 C=C1c2[nH]nc(-c3ccc(C)nc3)c2CN1CC1=COc2ccccc2O1 0.49245022121943016 0.76977090581458 0.7348033579132697 3.937528545980049 4.091264878141614 0.76977090581458 0.7348033579132697 1
28 C=CN(C=C1Oc2ccccc2OC1=C)Cc1c(-c2cccnc2)n[nH]c1C 1.1081705749954605 0.7116868323526473 0.7284500638883841 1.6132406966016548 1.6132406966016548 0.7116868323526473 0.7284500638883841 1
27 C=CN(Cc1c[nH]nc1-c1cccnc1)C(=C)C1=COc2ccccc2O1 0.6409179524755153 0.7138482980681824 0.7108019947195015 5.642179116290721 4.716363028048134 0.7138482980681824 0.7108019947195015 1
28 C=CN(Cc1c[nH]nc1-c1cncc(C)c1)C(=C)C1=COc2ccccc2O1 0.8448851049099906 0.687575841217195 0.6991961227677764 4.232124326754709 4.325068440150046 0.687575841217195 0.6991961227677764 1
27 CCN(CC1=COc2ccccc2O1)Cc1c[nH]nc1-c1cnccc1C 0.590117796681942 0.7201264020749898 0.7416997551868821 5.272281127360319 4.399772578284395 0.7201264020749898 0.7416997551868821 1
27 Cc1cc(-c2n[nH]c3c2CN(CC2=COc4ccccc4O2)C3)cnc1C 0.5337314675680176 0.7712647013913067 0.757421274174224 0.8199274487784787 1.4363584822784756 0.7712647013913067 0.757421274174224 0
28 CC=CN1Cc2c(-c3ccc(C)nc3)n[nH]c2C1=C1COc2ccccc2O1 0.872718271472424 0.727823324372313 0.7337109190524913 1.7778959508846341 1.433627846891432 0.727823324372313 0.7337109190524913 0
27 C=CN(Cc1c[nH]nc1-c1cccnc1)C(=C)C1=COc2ccccc2O1 0.6409179524755153 0.7138482980681824 0.7108019947195015 4.849270008147878 4.22456164253856 0.7138482980681824 0.7108019947195015 0
28 CCN(CC1=COc2ccccc2O1)Cc1c[nH]nc1-c1cncc(C)c1C 0.7713811732860574 0.6977011462966096 0.7275712414762282 4.459805623574082 2.7736479619643983 0.6977011462966096 0.7275712414762282 0
28 Cc1ncc(-c2n[nH]cc2CN(C)CC2=COc3ccccc3O2)c(C)c1C 0.698522070721955 0.7249806742700007 0.7285513411913279 3.9351427768772482 2.911081781748197 0.7249806742700007 0.7285513411913279 0
28 CC1=C(CN(C)Cc2c[nH]nc2-c2cnc(C)c(C)c2)Oc2ccccc2O1 0.8787347630296489 0.7221671981051964 0.7394994181144051 2.7770358970909887 3.1791185330600094 0.7221671981051964 0.7394994181144051 0
28 Cc1ccc(-c2n[nH]c(C)c2CN(C)CC2=COc3ccccc3O2)c(C)n1 0.9936597630296484 0.7249806742700007 0.761344418114405 2.1970404200596145 2.648759093630359 0.7249806742700007 0.761344418114405 0
28 Cc1cc(C)c(-c2n[nH]cc2CN(C)CC2=COc3ccccc3O2)c(C)n1 0.7787691861065698 0.7249806742700008 0.7374676873451741 3.9542136798718106 4.13570006559925 0.7249806742700008 0.7374676873451741 0
29 C=CN(Cc1c[nH]nc1-c1cnccc1C)C(=CC)C1COc2ccccc2O1 0.5087882712956828 0.6750075843783981 0.6710409190328533 2.2272610288731487 2.2579589033739174 0.6750075843783981 0.6710409190328533 0
27 C=CN1Cc2c(-c3cccnc3)n[nH]c2C1=C1Oc2ccccc2OC1=C 0.6397008151824295 0.7493980254808479 0.7283556461313807 3.011991482380198 3.6554162634357468 0.7493980254808479 0.7283556461313807 0
