size smiles bbbp rges rges qed sa max_or_val 
42 O=C1OCc2cc(Oc3ccc(F)cc3)c(CC=C(CCN3CCC(C4CCCCC4)CC3)c3ccccc3)c(O)c21 0.9744167478081809 6.041298861503467 5.413157775531877 0.26277406906080086 0.7762553975471316 1
39 CCC(C)C(=CCc1c(O)c2c(c(C)c1OCCNC(N)=O)COC2=O)CCC(=O)NCC(=O)N(CC)CC 0.9764280108088016 5.5565163013642564 4.540289015080624 0.14941603563796543 0.6878353059940117 1
45 CCC(C)C(=CCc1c(O)c2c(c(C)c1OC)COC2=O)CCC(=O)NC1(C(=O)NCC(=O)NC(C#N)c2ccsc2)CCC1 0.9844547980610063 3.9102374587222757 3.6118185271845045 0.17620562922327423 0.6234645873481859 1
32 CC(=CCc1c(C)c(C)c2c(c1O)C(=O)OC2)CCC(=O)NCCCN1CC2(CSC2)C1 0.9968165010380465 2.801755915647507 2.3995834186667127 0.33501161389831513 0.6979538319315561 1
42 CCCCOCCOc1c(C)c2c(c(O)c1CC=C(CCC(=O)NCC(=O)N1CCN(C)CC1)C(C)CC)C(=O)OC2 0.9830249654299416 5.136756980017157 4.980090939397987 0.17066059011514834 0.6937595783909243 1
35 C=CC(=CCc1c(C)c(C)c2c(c1O)C(=O)OC2)CCC(=O)NCC(=O)NCC(=O)N(CC)CC 0.9917738395490606 3.571328888401599 2.2612127319815625 0.3079793923111156 0.7545304122766694 1
46 CCN(CC)C(=O)CNC(=O)CCC(=CCc1c(O)c2c(c(C)c1OCCCCN(C1CC1)C1CC1)COC2=O)c1ccccc1 0.993802580021939 3.3759772474804253 3.5337029575481993 0.1641643600942528 0.7388285960740245 1
40 CC(=CCc1c(O)c2c(c(C)c1OCCN1CCCCC1C)COC2=O)CCN1CCC2(CC1)CNC(=O)CO2 0.902792034877178 2.4470902489154147 4.137001290203365 0.35299198571794144 0.626258756884315 0
34 CCC(=CCc1c(O)c2c(c(C)c1OC)COC2=O)CCC(=O)NCC(c1cccs1)N(C)C 0.918156037835291 3.7357415832530094 3.062858305458562 0.3587040953641245 0.7141579880337896 0
41 CC(=CCc1c(O)c2c(c(C)c1OCCCS(=O)(=O)O)COC2=O)CCC(=O)NCC(=O)Nc1cc(Cl)cc(Cl)c1 0.7393019131201222 0.5969085988680234 4.358338337339415 0.10892144358228764 0.7614137264610081 0
36 COCCSCCC(C)=CCc1c(O)c2c(c(C)c1OCCCCCc1ccccc1F)COC2=O 0.5212734269028371 3.7428548797552734 3.276500584619925 0.16429367459944855 0.7719483553587785 0
42 O=C1OCc2cc(Oc3ccc(F)cc3)c(CC=C(CCN3CCC(C4CCCCC4)CC3)c3ccccc3)c(O)c21 0.9744167478081809 6.041298861503467 5.439711299080312 0.26277406906080086 0.7762553975471316 0
42 COC(=O)Nc1cccc(C(=O)NCCC(C)=CCc2c(O)c3c(c(C)c2OCCN(CC#N)CC#N)COC3=O)c1 0.5626497595111553 3.2006578131779455 3.2252327712368243 0.18187428134301917 0.7410420366324575 0
35 CC(=CCc1c(O)c2c(c(C)c1OCCN1CCCC1=O)COC2=O)CCNC(=O)C1(C#N)CC1 0.9012543151671737 2.1774797165286603 3.0791989908992847 0.3882244344667483 0.7416450230701082 0
33 CCC(=O)NCCC(=CCc1c(O)c2c(c(C)c1OCCOCOC)COC2=O)C(C)(C)C 0.951461401433149 3.5002652739788553 3.8192790508316685 0.21028637283063806 0.7397402257249951 0
41 CCCCN(CCO)CCC(=CCc1c(O)c2c(c(C)c1OCCNCCC1CCCN1C)COC2=O)C(C)CC 0.9493242128765228 5.201291291228504 5.58183542266479 0.1232085422847317 0.6449175921945335 0
28 Cc1c(O)c(CC=CCCC(=O)NCC2CCCCC2)c(O)c2c1COC2=O 0.6333055307090152 3.0387910890676073 3.6107887269151897 0.49019146540323644 0.7900793304805198 0
33 C=CCC(=CCc1c(O)c2c(c(C)c1OC(C)CC)COC2=O)CCC(=O)NCC(=O)NN 0.8469661175256499 4.75058513616959 4.997850757887791 0.1237323069778447 0.6876409101527589 0
