"","pert_iname","mean","n","median","sd","sRGES"
"2955","BRD-K71585907",-0.225391677463744,2,-0.225391677463744,0.134982114276806,-0.225391677463744
"2956","BRD-K03445781",-0.225370673127425,1,-0.225370673127425,NA,-0.225370673127425
"2957","oxetacaine",-0.2253306066803,1,-0.2253306066803,NA,-0.2253306066803
"2958","SA-1459454",-0.225315624771296,6,-0.218457061801368,0.114105392792273,-0.225315624771296
"2959","BRD-K55966666",-0.225306983873823,5,-0.265848670756646,0.135531749950439,-0.225306983873823
"2960","BRD-K01187795",-0.22525086525236,1,-0.22525086525236,NA,-0.22525086525236
"2961","BRD-K45515828",-0.225167619905639,2,-0.225167619905639,0.134343423730974,-0.225167619905639
"2962","BRD-K07101857",-0.225132924335378,2,-0.225132924335378,0.0534836867351464,-0.225132924335378
"2963","BRD-K96551169",-0.225103516082954,3,-0.172381062934705,0.185634607680854,-0.225103516082954
"2964","BRD-K99259037",-0.225046710811424,3,-0.126774899439627,0.206886040448363,-0.225046710811424
"2965","BRD-K98370172",-0.225036658130833,1,-0.225036658130833,NA,-0.225036658130833
"2966","BRD-K16956545",-0.224989905539895,9,-0.288772172786594,0.30135086486832,-0.224989905539895
"2967","BRD-K75644678",-0.224982958418541,1,-0.224982958418541,NA,-0.224982958418541
"2968","BRD-K49094915",-0.22489765467119,11,-0.259535911164707,0.104451373572871,-0.22489765467119
"2969","BRD-K74894470",-0.224840421541631,2,-0.224840421541631,0.246115693192111,-0.224840421541631
"2970","KU-C104493",-0.224821259567655,12,-0.222102373332395,0.192021435808678,-0.224821259567655
"2971","BRD-K06905668",-0.224766884338931,1,-0.224766884338931,NA,-0.224766884338931
"2972","BRD-K71006572",-0.224762182085264,3,-0.222487513073364,0.100316146090518,-0.224762182085264
"2973","irinotecan",-0.224755721220483,27,-0.281383776414451,0.183213040436225,-0.224755721220483
"2974","purvalanol-b",-0.224754322317186,2,-0.224754322317186,0.0103965334898433,-0.224754322317186
"2975","methyl-angolensate",-0.224730743012952,1,-0.224730743012952,NA,-0.224730743012952
"2976","BRD-K04363266",-0.224713143611878,2,-0.224713143611878,0.091306910402296,-0.224713143611878
"2977","BRD-K17663841",-0.224689009869075,1,-0.224689009869075,NA,-0.224689009869075
"2978","BRD-K28583191",-0.224635310156782,1,-0.224635310156782,NA,-0.224635310156782
"2979","BRD-K70161581",-0.22459362122734,15,-0.277804486488497,0.158608461267834,-0.22459362122734
"2980","perhexiline",-0.224587118098412,50,-0.288990859467834,0.17611302375188,-0.224587118098412
"2981","BRD-K74260000",-0.224566310482572,2,-0.224566310482572,0.198616510058438,-0.224566310482572
"2982","KU-C103874",-0.224478527607362,1,-0.224478527607362,NA,-0.224478527607362
"2983","BRD-K89793018",-0.224429977830902,1,-0.224429977830902,NA,-0.224429977830902
"2984","valdecoxib",-0.224413525089023,36,-0.24643093502292,0.163223653682694,-0.224413525089023
"2985","BRD-K49998237",-0.224315540832701,2,-0.224315540832701,0.131098774223649,-0.224315540832701
"2986","BRD-K12868556",-0.22423229548598,1,-0.22423229548598,NA,-0.22423229548598
"2987","BRD-K39289507",-0.224208991710506,2,-0.224208991710506,0.0744177195555459,-0.224208991710506
"2988","BRD-K70252286",-0.224191950129047,2,-0.224191950129047,0.088005545159941,-0.224191950129047
"2989","BRD-K20126873",-0.224167745813531,4,-0.229014579917496,0.0621878648538345,-0.224167745813531
"2990","amiprilose",-0.224000805506902,1,-0.224000805506902,NA,-0.224000805506902
"2991","BRD-K19981693",-0.223966446815223,1,-0.223966446815223,NA,-0.223966446815223
"2992","BRD-K09031632",-0.223895069530524,3,-0.234187470569333,0.0353649032233585,-0.223895069530524
"2993","BRD-K10361096",-0.223728894196148,12,-0.242644574532592,0.123781603561754,-0.223728894196148
"2994","BRD-A59145032",-0.22372723652297,12,-0.299208712800698,0.198288967434831,-0.22372723652297
"2995","BRD-K82560670",-0.223721048042217,1,-0.223721048042217,NA,-0.223721048042217
"2996","BRD-K73125384",-0.22363114264415,4,-0.246942461376491,0.112119503712933,-0.22363114264415
"2997","penitrem-a",-0.223624824892087,15,-0.26348329925017,0.123083185919037,-0.223624824892087
"2998","BRD-K03608142",-0.22355063222763,1,-0.22355063222763,NA,-0.22355063222763
"2999","BRD-K31635696",-0.223339316617541,1,-0.223339316617541,NA,-0.223339316617541
"3000","BRD-A01973626",-0.223302100667092,2,-0.223302100667092,0.00618417178092917,-0.223302100667092
"3001","PF-750",-0.223300343007227,44,-0.268561132705265,0.167074669987057,-0.223300343007227
"3002","SA-1938820",-0.223275091965621,4,-0.248471724148066,0.117121826514504,-0.223275091965621
"3003","BRD-K16030225",-0.223173754874964,2,-0.223173754874964,0.0948620900929442,-0.223173754874964
"3004","cymarin",-0.223108390936042,20,-0.224266378648898,0.152271954175945,-0.223108390936042
"3005","cyproheptadine",-0.223091634066146,10,-0.312446613277863,0.21385177916359,-0.223091634066146
"3006","givinostat",-0.223053452954827,7,-0.248527049542348,0.128117696824069,-0.223053452954827
"3007","piperlongumine",-0.222914683803882,83,-0.229699510346711,0.129788095052743,-0.222914683803882
"3008","BRD-K92959281",-0.222899471547621,3,-0.28377165598174,0.175770568951193,-0.222899471547621
"3009","BRD-K81514393",-0.22287406782957,6,-0.255790450469879,0.125477849007541,-0.22287406782957
"3010","BRD-K06745755",-0.222812473348039,2,-0.222812473348039,0.192960503253875,-0.222812473348039
"3011","BRD-K81112982",-0.222715077931296,1,-0.222715077931296,NA,-0.222715077931296
"3012","SA-101686",-0.222702494828606,4,-0.218185425579558,0.0333424279292933,-0.222702494828606
"3013","PSH-024",-0.222530395936818,4,-0.228040218132242,0.0871599497584016,-0.222530395936818
"3014","BRD-K63944563",-0.222526174779531,2,-0.222526174779531,0.137504670012312,-0.222526174779531
"3015","BRD-K27161987",-0.222514504074937,1,-0.222514504074937,NA,-0.222514504074937
"3016","BG-1028",-0.222478703139726,6,-0.215279203026116,0.045899415299806,-0.222478703139726
"3017","BRD-K25065206",-0.222453987730061,1,-0.222453987730061,NA,-0.222453987730061
"3018","BRD-K33305493",-0.222440261494958,6,-0.2676448534424,0.228068763213176,-0.222440261494958
"3019","mitomycin-c",-0.222294143835838,25,-0.261696783693677,0.175678073523019,-0.222294143835838
"3020","phloretin",-0.222281644619182,54,-0.285742455131987,0.199220577750641,-0.222281644619182
"3021","BRD-K72913953",-0.222179645562439,4,-0.233131547088125,0.152694615483705,-0.222179645562439
"3022","BRD-K84293326",-0.222026598040363,1,-0.222026598040363,NA,-0.222026598040363
"3023","BRD-K77326001",-0.221847919837473,2,-0.221847919837473,0.170951254570277,-0.221847919837473
"3024","BRD-K44916273",-0.221789668810225,3,-0.170026433181959,0.117506590693977,-0.221789668810225
