ID,Z_RGES,Z_Up,Z_Down,Penalty,Similarity,SMILES,LogS
ZINC000001230949,-5.960504665863348,-2.9403523807042236,3.0201522851591247,0.041557034514781,0.36,O=C1Nc2ccc(Br)cc2/C1=C1/SC(=O)N(c2ccccc2)C1=O,-4.325
ZINC000001233342,-6.639213485610941,-4.046551963283682,2.5926615223272584,0.06881674663364802,0.5208333333333334,COC(=O)NC(=S)Nc1ccc(NC(=O)c2cc(Cl)ccc2O)c(Cl)c1,-5.505
ZINC000001909492,-5.963807094225086,-3.4397432171956965,2.524063877029389,0.09452871072589383,0.3333333333333333,Cc1ccc([C@]2(O)C[N+]3=C(CCCCC3)N2c2ccc(Br)cc2)cc1,-5.475
ZINC000007504889,-5.528021276995117,-3.0255916328045167,2.502429644190601,0.04134421916112057,0.3125,O=C(Nc1ccccc1C(F)(F)F)c1ccc(N2CCCCC2)cc1,-5.808
ZINC000000103063,-5.625357681592801,-3.4713151542338534,2.1540425273589467,0.09079476861167002,0.7777777777777778,O=C(Nc1ccc(Cl)cc1Cl)c1cc([N+](=O)[O-])ccc1Cl,-5.849
ZINC000000201807,-5.95929454256934,-3.8466342150041624,2.1126603275651776,0.03387633493267296,0.4782608695652174,O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Cl)c(Cl)c1,-6.44
ZINC000000253778,-5.281832680121808,-3.2546977893026057,2.0271348908192026,0.04176984986844142,0.4166666666666667,CC(C)c1ccc(/C=C/C(=O)Nc2ccc(F)c([N+](=O)[O-])c2)cc1,-6.341
ZINC000000271572,-6.712133488529979,-4.594034228085496,2.1180992604444824,0.07084816591858845,0.5227272727272727,O=C(Nc1ccccc1C(F)(F)F)c1ccc(Cl)c([N+](=O)[O-])c1,-4.974
ZINC000000305322,-5.781220834878371,-3.208394480226922,2.572826354651449,0.04331759789506268,0.4166666666666667,Cc1ccc(NC(=O)/C=C/c2ccc(Cl)c([N+](=O)[O-])c2)cc1C,-6.582000000000001
ZINC000000315596,-6.047269667677535,-3.4629594431902886,2.584310224487245,0.050785482123510285,0.3137254901960784,Cc1ccc(NC(=O)/C=C/c2ccc(C(C)(C)C)cc2)cc1[N+](=O)[O-],-6.495
ZINC000000316681,-4.9270268004889335,-2.732795614956395,2.19423118553254,0.02155239127070113,0.3877551020408163,Cc1cc(C)cc(NC(=O)/C=C/c2ccc(Cl)c([N+](=O)[O-])c2)c1,-6.614
ZINC000000375572,-6.311949425918018,-3.5286709710208433,2.7832784548971765,0.10199659495434144,0.40816326530612246,CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc(F)c([N+](=O)[O-])c2)cc1,-6.4110000000000005
ZINC000000441691,-5.39922281653997,-2.7411986819233025,2.658024134616668,0.05852422225661664,0.425531914893617,O=C(/C=C/c1ccccc1Cl)Nc1ccc(Cl)c([N+](=O)[O-])c1,-6.398
ZINC000000455425,-4.768499508553584,-2.7370352022791917,2.0314643062743927,0.06007197028323789,0.6428571428571429,O=C(Nc1ccc(Cl)cc1C(F)(F)F)c1cccc([N+](=O)[O-])c1,-5.118
ZINC000013880525,-5.556874383004702,-2.866539925407027,2.690334457597675,0.04134421916112057,0.45652173913043476,O=C(/C=C/c1ccc(Cl)c([N+](=O)[O-])c1)Nc1cccc(Cl)c1,-6.414
ZINC000002648341,-4.559073016518408,-2.1441257319241176,2.41494728459429,0.02880746014548832,0.4,C[C@H](C(=O)Nc1ccccc1C(C)(C)C)c1ccc([N+](=O)[O-])cc1,-5.928
ZINC000003615125,-5.663336091240066,-3.4296228821939136,2.2337132090461527,0.062258164370840426,0.5681818181818182,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1cccc([N+](=O)[O-])c1,-5.513999999999999
ZINC000218125792,-4.883267165758136,-2.6107357611183044,2.2725314046398317,0.032541402259712124,0.4375,CC[C@@H](NC(=O)c1cc([N+](=O)[O-])ccc1Cl)c1ccc(C)cc1C,-6.5360000000000005
ZINC000223131900,-5.122216448338028,-2.8460787713696023,2.2761376769684265,0.02880746014548832,0.4375,O=C(Nc1cccc([N+](=O)[O-])c1)c1cc2cc3ccccc3nc2s1,-6.897
ZINC000408975063,-5.52137611704886,-3.1394624543788683,2.3819136626699926,0.049024918743228604,0.3076923076923077,O=C(Nc1ccc(F)cc1)Nc1cc2ccncc2c2ncccc12,-5.532
ZINC000000232260,-5.624876920375125,-3.0214509317184657,2.60342598865666,0.047264355362946917,0.3469387755102041,O=[N+]([O-])c1ccc(Cl)c(C2Nc3cccc4cccc(c34)N2)c1,-6.105
ZINC000015218452,-5.477149470278814,-3.1967080414994995,2.280441428779315,0.07868364030335863,0.38461538461538464,O=[N+]([O-])c1c(Cl)cc(O)c2c1[C@@H]1C=CC[C@@H]1[C@@H]([C@H]1CC=CCC1)N2,-6.517
ZINC000033744438,-5.8016405795820996,-3.151812762663457,2.649827816918643,0.04395604395604396,0.34545454545454546,O=[N+]([O-])c1c(Cl)cc(O)c2c1[C@@H]1C=CC[C@@H]1[C@H]([C@H]1CC=CCC1)N2,-6.662999999999999
ZINC000217461464,-4.483021601357258,-2.3711736668021546,2.111847934555104,0.08220476706392199,0.39215686274509803,O=[N+]([O-])c1c(Cl)cc(O)c2c1[C@@H]1C=CC[C@@H]1[C@@H]([C@@H]1CC=CCC1)N2,-6.752999999999999
ZINC000000315512,-4.167569115798945,-2.131802228477996,2.035766887320949,0.030780838879430433,0.32608695652173914,O=C(Nc1ccc(Cl)c(Cl)c1)O/N=C/c1ccc(F)cc1,-6.7010000000000005
ZINC000004862991,-4.961390669347933,-2.8578420167075063,2.1035486526404266,0.026834081411546203,0.32653061224489793,O=C(/C=C/c1cc2ccccc2o1)c1cc(Br)ccc1O,-6.432
ZINC000004865576,-5.904863118888086,-3.5057511644752104,2.399111954412875,0.03915802507351803,0.37209302325581395,O=C(/C=C/c1ccccc1Cl)c1cc(Br)ccc1O,-6.32
ZINC000004991267,-7.243260000391547,-4.714777067079131,2.528482933312413,0.10845844296548522,0.3018867924528302,Oc1c(Cl)cc(Cl)cc1/C=N/Nc1cccc2cccnc12,-4.867
ZINC000408626750,-5.749862846002023,-3.5033373255145897,2.246525520487434,0.06177449311252128,0.3076923076923077,COc1ccc(Cl)cc1S(=O)(=O)N[C@@H](C)C(=O)Nc1ccccc1Sc1ccccc1,-5.401
ZINC000408626751,-5.7965028032310935,-3.739647542821529,2.0568552604095656,0.049024918743228604,0.36,COc1ccc(Cl)cc1S(=O)(=O)N[C@H](C)C(=O)Nc1ccccc1Sc1ccccc1,-5.401
ZINC000408676868,-5.067781439335811,-3.0136328112316813,2.0541486281041306,0.0072550688747871845,0.4523809523809524,COC(=O)c1cccc(NC(=O)c2ccc(NC(=O)c3ccc(Br)cc3)cc2)c1,-4.997
ZINC000408926789,-5.8422648152813865,-3.4670678744625496,2.375196940818837,0.053668162823092405,0.33962264150943394,COC(=O)c1ccc(C)c(NC(=O)c2ccc(N(Cc3ccccc3Cl)S(C)(=O)=O)cc2)c1,-4.958
