Compound ID	SMILES
KV-00040860	O=C1CC(c2ccccc2)N(c2ccc(OC(F)(F)F)cc2)C(=S)N1
KV-00040861	O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cc(C(F)(F)F)ccn1
KV-00040862	COC(=O)COc1ccc(SC(F)(F)F)cc1
KV-00040863	Cc1ccn2c(=O)c(C(=O)O)cnc2c1
KV-00040864	CCCCN1C(=O)N(c2nnc(C(C)(C)C)s2)C(=O)C1c1ccc(F)cc1
KV-00040865	COC(=O)CS(=O)(=O)c1nccn1C
KV-00040866	CN(C)/C=C(\Sc1nnc(N)s1)C(=O)Nc1ccc(F)c(F)c1F
KV-00040867	Cn1ccnc1SCC(=O)c1ccc(F)c(F)c1
KV-00040868	CC(=O)Nc1nnc(SCC(=O)Nc2ccc(F)c(F)c2F)s1
KV-00040869	CC(C)(C)c1ccc(Oc2cc3c(cc2[N+](=O)[O-])C(=O)NC3=O)cc1
KV-00040870	CCCCN1C(=O)N(c2nnc(C(C)(C)C)s2)C(=O)C1c1ccc(Cl)c(Cl)c1
KV-00040871	NNC(=O)COc1ccc(SC(F)(F)F)cc1
KV-00040872	O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cncc(C(F)(F)F)c1
KV-00040873	O=C1NC(=O)c2cc([N+](=O)[O-])c(Oc3ccc(F)cc3F)cc21
KV-00040874	CC(C)(C)c1nnc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)s1
KV-00040875	O=c1n(-c2ccc(F)cc2)nc2n1CCCN2
KV-00040876	CCOC(=O)N1CCCN=C1NNc1cc(Cl)ccc1OC
KV-00040877	CN(c1ccc(Br)cc1)c1nc(=O)c2cccnc2s1
KV-00040878	COc1ccccc1N1CC(C)(C)C(=O)NC1=S
KV-00040879	C#CCSc1nc(=O)c2cccnc2n1-c1ccc(C)cc1
KV-00040880	COc1ccccc1NC(=S)NCC(C)(C)C(=O)O
KV-00040881	COc1ccccc1N1CC(C)(C)C(=O)N=C1Sc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
KV-00040882	CN1C(=O)N(c2nnc(C(C)(C)C)s2)C(=O)C1c1ccccc1
KV-00040883	CC(C)(O)CCSc1ccc([N+](=O)[O-])cn1
KV-00040884	CCCCNC(=O)Nc1nnc(C(C)(C)C)s1
KV-00040885	Cc1cc(C(=O)CSc2c(F)c(F)c(C(=O)O)c(F)c2F)ccc1Cl
KV-00040886	O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccc(Sc2ccc(Cl)cc2)nc1
KV-00040887	CCCCn1c(CSc2ccccn2)cn(-c2nnc(C(C)(C)C)s2)c1=O
KV-00040888	CSc1nc2nccc(NC(=O)c3cccc(C)c3)n2n1
KV-00040889	Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2NS(=O)(=O)c2ccc(C)cc2)cc1
KV-00040890	Cn1ccnc1SCC(=O)c1ccc(Cl)cc1
KV-00040891	CN(C)/C=C(\C(=O)Nc1ccc(F)c(F)c1F)S(=O)(=O)c1ccccc1
KV-00040892	N/N=c1/nc2sccn2c2ncccc12
KV-00040893	CCCCN1C(=O)N(c2nnc(C(C)(C)C)s2)C(O)C1c1ccc(C)cc1
KV-00040894	CCCCn1c(CSCc2ccc(Cl)cc2)cn(-c2nnc(C(C)(C)C)s2)c1=O
KV-00040895	Cc1ccc(Sc2ccc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)cn2)cc1
KV-00040896	O=C(CSc1c(F)c(F)c(C(=O)O)c(F)c1F)c1cccc([N+](=O)[O-])c1
KV-00040897	Cc1cc(-c2nn(C)c(=O)c3ccccc23)cc(C)c1OCC(=O)NNC(=O)Nc1ccccc1
KV-00040898	COC(=O)COc1c(C)cc(-c2nn(C)c(=O)c3ccccc23)cc1C
KV-00040899	COC(=O)c1ccccc1C(=O)c1cc(C)c(O)c(C)c1
KV-00040900	COc1ccccc1N1CC(C)(C)C(=O)N(C(=O)c2ccc(Cl)cc2)C1=S
KV-00040902	CCCN(c1ccc(C)cc1)c1nc(=O)c2cccnc2s1
KV-00040903	COc1ccc(-n2c(=S)[nH]c(=O)c3cccnc32)cc1
KV-00040904	O=[N+]([O-])c1ccc(Sc2ssc(=S)c2-c2ccccc2)nc1
KV-00040905	COc1ccccc1N1CC(C)(C)C(=O)N(C(=O)c2ccc(C)cc2)C1=S
KV-00040906	Cc1cc(-c2nn(C)c(=O)c3ccccc23)cc(C)c1O
KV-00040907	Cc1cc(-c2nn(C)c(=O)c3ccccc23)cc(C)c1OC(=O)Nc1ccc(Cl)cc1
KV-00040908	Cc1cc(-c2nn(C)c(=O)c3ccccc23)cc(C)c1OCC(=O)NNC(=O)Nc1ccc(Cl)cc1
KV-00040909	O=C(CSc1c(F)c(F)c(C(=O)O)c(F)c1F)Nc1cccc(C(F)(F)F)c1
KV-00040910	Cc1ccc(Sc2ccc(NC(=O)Nc3ccc(SC(F)(F)F)cc3)cn2)cc1
KV-00040911	O=C1NC(=O)c2cc([N+](=O)[O-])c(Sc3c(Cl)cccc3Cl)cc21
KV-00040912	CCCCN1C(=O)N(c2nnc(C(C)(C)C)s2)C(O)C1c1ccc(Cl)c(Cl)c1
KV-00040914	COC(=O)c1ccc(Cl)cc1N(CCCC#N)S(=O)(=O)c1ccc(OC)c(OC)c1
KV-00040915	Cn1c(=O)c2c(O)c([N+](=O)[O-])c(=O)n(C)c2n(C)c1=O
KV-00040917	CCOC(=O)NC(Nc1cccc(C)c1)(C(=O)OCC)C(F)(F)F
KV-00040918	O=C1c2ccccc2-c2cccc(C(=O)N3CCCCC3)c21
KV-00040919	CCOC(=O)NC(Nc1ccc(F)c(F)c1F)(C(=O)OCC)C(F)(F)F
KV-00040920	Cn1c(Nc2ccccc2)cc(=O)n(C)c1=O
KV-00040922	O=C1Nc2ccc([N+](=O)[O-])cc2N/C1=C/C(=O)c1ccccc1
KV-00040923	NNC(=O)C(Cc1ccc(O)cc1)NC(=O)OCc1ccccc1
KV-00040924	CCCC(=O)Oc1c[nH]c2ccccc12
KV-00040925	C=CCNC(=O)N1CC(Oc2ccc(Cl)cc2)C1
KV-00040926	O=C(O)CSc1nnc(Nc2ccccc2)n1-c1ccccc1
KV-00040927	CSC(=S)Nc1ccc(NC(C)=O)cc1
KV-00040928	COc1ccc(/C=C/C(=O)N2CCN(c3ccccc3OC)CC2)cc1OC1CCCC1
