idx,smiles,molname
0,CC1=NN(CC2=NC(C)=C(C3=CC=C(Cl)C=C3)O2)C=C1,Z1516314927
1,ClC1=CC=CC(CN2N=CC3=C(NCCNC4=CN=CC=N4)N=CN=C32)=C1,Z3888289046
2,CC1=CC=C(CN2N=CC3=C(N4CCN(CC5=CC=C(Cl)C(Cl)=C5)CC4)N=CN=C32)C=C1,Z57065103
3,C1=NC2=C(C=CS2)C(N2CCC(N3CCCC3)CC2)=N1,Z645919648
