size smiles rges sa qed qed sa max_or_val 
30 Cc1cc(C=O)nc(NC(c2ccc(Cl)c(N)c2)c2ccc3cccnc3c2O)c1 6.619956379878112 0.754623640066205 0.314731909299064 0.314731909299064 0.754623640066205 1
18 N#CC(Nc1cccc(N)n1)c1ccc(Cl)cc1 3.7394240280870124 0.7952319819922616 0.887479196389439 0.887479196389439 0.7952319819922616 1
15 Cc1ccnc(NCc2cncnc2)c1 2.888865123308095 0.8646083247949028 0.820265411850277 0.820265411850277 0.8646083247949028 1
19 Cc1ccnc(NC(C(=O)O)c2ccc(Cl)cc2)c1 2.9226835577226087 0.8365312469034301 0.8994959218171512 0.8994959218171512 0.8365312469034301 1
18 CCC(Nc1cc(C)ccn1)c1ccc(Cl)cc1 3.9958843913733966 0.8448042293527445 0.8685809142406914 0.8685809142406914 0.8448042293527445 1
16 Cc1ccnc(NCc2ccc(Cl)cc2)c1 2.883998385849843 0.9206023433187845 0.8738673854347089 0.8738673854347089 0.9206023433187845 1
17 Cc1ccnc(NC(C)c2ccc(Cl)cc2)c1 3.11586262782865 0.8578234573856505 0.8773595215283052 0.8773595215283052 0.8578234573856505 1
18 Clc1ccc(C(NC2CC2)c2ccncc2)cc1 2.5900797038277936 0.8383707915989446 0.9068467711761709 0.9068467711761709 0.8383707915989446 1
15 Cc1cc(C=O)nc(NCC(F)(F)F)c1 2.9421703814609295 0.8105888842354622 0.790377967616113 0.790377967616113 0.8105888842354622 0
18 Cc1cc(C=O)nc(NC(C)C2CCCCC2)c1 3.3814279164494216 0.7795595838022165 0.8255362043258795 0.8255362043258795 0.7795595838022165 0
21 Cc1ccnc(NC(Cc2ccno2)c2ccccc2)c1 3.1432083528454937 0.7880707150221489 0.7719920655905858 0.7719920655905858 0.7880707150221489 0
15 CN(C)CCNCc1ccc(Cl)c(N)c1 0.9255025486558627 0.8877365953048807 0.5929230564625766 0.5929230564625766 0.8877365953048807 0
14 C=C(Cl)CNc1cc(C)cc(C=O)n1 3.4318966174745595 0.7824418782429338 0.7762719588714995 0.7762719588714995 0.7824418782429338 0
17 Nc1cccc(CNc2cccc(C=O)n2)c1 2.359752439714759 0.863833906744735 0.6195715366444683 0.6195715366444683 0.863833906744735 0
