size smiles plogp qed sa rges qed sa max_or_val 
23 Cc1ccn(Cc2nc(CC(C)C)c(-c3ccc(Cl)cc3)o2)n1 2.184120818742147 0.6782944653244548 0.826377868749127 3.5550248497422725 0.6782944653244548 0.826377868749127 1
18 Clc1ccc(-c2cnc(Cn3cccn3)o2)cc1 1.0687927017294214 0.7252469161023295 0.8698880779699356 3.1365742741925065 0.7252469161023295 0.8698880779699356 1
19 CCCc1nc(Cn2cccn2)oc1-c1ccsc1 0.8040485839480143 0.7130822965676006 0.8004053982164456 1.239224092647909 0.7130822965676006 0.8004053982164456 0
18 Cc1nc(Cn2cccn2)oc1-c1ccccc1 0.6095375203070699 0.705487118074527 0.8571908355896743 1.2495414932041529 0.705487118074527 0.8571908355896743 0
18 Cc1ccn(Cc2ncc(-c3ccccc3)o2)n1 0.7221851255320342 0.7054871180745271 0.8697072361702259 3.020767124263947 0.7054871180745271 0.8697072361702259 0
20 CCCc1nc(Cn2ccc(C)n2)oc1-c1ccco1 0.6542134884281934 0.7129129796625496 0.8015437209364656 1.3196803691690087 0.7129129796625496 0.8015437209364656 0
18 ClCc1nc(Cn2cccn2)oc1-c1cccs1 0.5322961850385655 0.6877528365338613 0.7939551316709514 0.9265069536114943 0.6877528365338613 0.7939551316709514 0
19 CCCc1nc(Cn2cccn2)oc1-c1cccs1 0.9155595729590011 0.7130822965676006 0.8127955081065554 1.2495414932041529 0.7130822965676006 0.8127955081065554 0
18 Clc1ccc(-c2cnc(Cn3cccn3)o2)cc1 1.0687927017294214 0.7252469161023295 0.8698880779699356 2.481791904302568 0.7252469161023295 0.8698880779699356 0
19 CSCc1nc(Cn2cccn2)oc1-c1cccs1 0.592346386145814 0.7212809269753658 0.7868273762384236 0.9739660973169965 0.7212809269753658 0.7868273762384236 0
20 CCCc1nc(Cn2ccc(C)n2)oc1-c1ccoc1 0.513235769595302 0.7129129796625496 0.7858795299550333 2.376367327752775 0.7129129796625496 0.7858795299550333 0
18 Cc1ccn(Cc2nc(C)c(-c3cccs3)o2)n1 0.5448529763749494 0.7247748815722738 0.8089014418194387 1.1828661832363112 0.7247748815722738 0.8089014418194387 0
