,45210,45219,45221,45222,45223,45224,45225,45067,45068,45069,44707,44727,44706,44687,6635454,44443110,5260420,5338385,STK090840,45306,45305,45304,45303,45301,45302,45300,Niclosamide,Ikk2-inhibitor-V,R358223,L263001,S791075,S629383,L255998,HJC0152,PB56874852
GALC,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EGFR,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
CSAG3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DENND5B-AS1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FAM107B,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B4GALT5,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ID1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BANK1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ENPP4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SVIL-AS1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MAP9,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FBXO41,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SYNJ2BP,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EMG1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZNF219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RHOT2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BAZ1A,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HPD,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SNORA14B,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MTERF1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARL15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TSPAN7,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LINC00942,0,-1,0,0,0,1,1,0,0,0,1,1,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LRIG1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RSPRY1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TMEM170A,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FASTKD5,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1
STAG3,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NMD3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OVOL1,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCOC,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FSBP,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
MTAP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SNAPC3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GJB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GPR137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MAP1LC3B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NFIB,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
STX3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LINC00862,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TYMP,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LYSMD1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TMEM125,0,1,0,0,0,1,0,1,0,0,1,1,0,1,-1,0,0,0,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C22orf23,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,-1,0,0,0,1,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MROH8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCDC144A,0,-1,0,1,0,0,0,1,0,0,0,1,0,1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TARID,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PPRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
CNPY3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CREM,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
SEPHS1,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
FARSB,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZNF770,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
USP34,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ELOVL6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
BAIAP2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NFATC1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EID2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DIP2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SNPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LOC102724238,0,0,0,0,0,1,0,1,0,0,0,1,-1,1,0,-1,0,0,0,0,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MT1JP,0,1,1,0,1,0,0,1,0,0,1,0,-1,1,0,-1,0,-1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GINS1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AIG1,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NPIPB8,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SLC3A1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DPH7,0,0,0,0,0,1,0,0,-1,0,0,1,0,1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADGRG1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1
MIR222,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FMNL3,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PLEKHO1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADH7,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZNF507,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
KIAA0907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCDC85B,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
MTPAP,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
