,45210,45219,45221,45222,45223,45224,45225,45067,45068,45069,44707,44727,44706,44687,6635454,44443110,5260420,5338385,STK090840,45306,45305,45304,45303,45301,45302,45300,Niclosamide,Ikk2-inhibitor-V,R358223,L263001,S791075,S629383,L255998,HJC0152,PB56874852
EIF5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SPPL2B,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADHFE1,-1,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PIK3C2B,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1
ZNF404,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SAR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ANKRD52,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CDC73,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
INTS4P2,0,0,0,-1,0,0,1,1,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
METAP2,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JMY,0,0,0,0,0,1,0,1,1,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GATAD2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TJP2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P4HA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LTV1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
KHSRP,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LINC01224,0,0,0,1,0,1,0,1,0,0,1,1,0,1,-1,-1,0,0,-1,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GPSM2,0,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PABPC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PHETA2,0,0,0,0,0,0,1,1,1,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SNORD116-17,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TCEA2,-1,0,0,0,0,0,-1,0,-1,-1,1,1,-1,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
MBLAC1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
COMMD2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NUB1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
QTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SMURF1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RFX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TSC22D2,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EPHB4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SCAMP1-AS1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SNORD28,0,0,1,0,0,1,0,1,0,0,1,0,-1,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
WDR78,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,-1,0,0,0,0,1,0,1,1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SENP7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LPIN3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CRACR2A,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARMH4,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,-1,-1,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
BLOC1S4,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FRAS1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RSAD2,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
VAV1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NFIL3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
TBC1D24,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SURF6,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
SNORD34,0,0,1,0,0,1,0,0,0,0,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCDC167,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HMGB3,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AGBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ICAM3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
ITGB4,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARRDC1-AS1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHIC2,1,1,1,1,0,1,0,0,1,1,0,0,0,1,-1,0,0,0,0,1,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SPIDR,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BMERB1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,-1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PUS3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DEXI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NUDT22,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,1,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNF139-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MPV17L2,-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
TSKU,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UEVLD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TP53I13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HOXA6,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FOS,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LGALSL,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-1,-1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CXADR,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SSUH2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GTF3C6,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SLC35E2A,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,-1,0,0,0,0,0,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TGS1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TSPAN6,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
EFNB2,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNMT,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FOXJ3,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,-1,0,0,0,1,1,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FHL1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
HSD17B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HADH,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
TLR1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TCIRG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
DMAC2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZDHHC11,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,-1,0,0,-1,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SLC36A4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LINC00937,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GOLGA6L10,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MIR3682,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CCDC80,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SETD9,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SEC14L1P1,0,0,0,0,0,1,0,0,0,0,1,1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CTDSPL,0,0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
POTEF,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EXOC3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AP1AR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZNF324B,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AEBP2,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PYGL,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
ZNF71,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ACBD6,0,0,1,0,0,1,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TMEM109,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
ZBP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LOXL1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
EXOC6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HMGB2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRF,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ZNF280D,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DNTTIP2,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LINC01842,0,0,0,0,1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,-1,0,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PKIG,0,1,1,1,1,-1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
RCC1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
ELAC2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
ODF3B,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VAMP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SAP30-DT,0,0,1,0,0,0,0,1,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ZEB2,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SNORD45C,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YES1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WDR18,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PAQR8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
S100A5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TMED10,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1
TNFRSF1B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
SNAPC5,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PEX14,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OXA1L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1
ALDOA,0,1,1,0,0,-1,0,-1,0,0,0,-1,1,0,1,0,0,1,0,-1,-1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
LIG3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
PRPS1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CTSL,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
R3HDM4,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EBP,-1,-1,0,-1,0,-1,-1,-1,-1,-1,1,1,0,1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
ZNF7,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DDIT4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
FRMD8,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,-1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
IL18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SPAG7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CEBPA,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SEMA6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CIZ1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GABRD,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TMEM115,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CLCC1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LAMA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JADE2,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADAM8,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
