size smiles plogp qed sa rges qed sa max_or_val 
28 C=Cc1cc(Br)cnc1CN1CCN(C(=O)c2ccc(OC(F)F)cc2)CC1 1.556407353097808 0.6639701170404843 0.8344341503442005 5.1111829537109585 0.6639701170404843 0.8344341503442005 1
22 Cc1cc(Br)cnc1CN1CCN(C(=O)CC(C)(C)C)CC1 0.8967920274286296 0.8220541676217319 0.8515413363809586 2.7076019997941096 0.8220541676217319 0.8515413363809586 1
21 O=C(c1ccsc1)N1CCN(Cc2ccc(Br)cn2)CC1 0.6663208184076792 0.8383533426711117 0.8669689798230754 3.0337447308230825 0.8383533426711117 0.8669689798230754 1
19 O=C(OCc1ncc(Br)cc1Br)c1ccc(F)cc1 1.9701213032098828 0.7426968299088089 0.8741579225788756 1.4978375178972136 0.7426968299088089 0.8741579225788756 1
21 C=Cc1ccc(N(CCc2ccc(Br)cn2)C(C)C)cc1 2.474626262227549 0.7368097239181919 0.8366695846919493 4.234871960162042 0.7368097239181919 0.8366695846919493 1
18 CCCN1CCN(Cc2ncc(Br)cc2C)CC1 0.5393063839628391 0.852000206480142 0.8732429315514264 2.5810407299269773 0.852000206480142 0.8732429315514264 1
22 Cc1cccc(N2CCN(Cc3ncc(Br)cc3N)CC2)c1 0.8202559834725838 0.9128911692416589 0.8625928870525092 2.834343381839986 0.9128911692416589 0.8625928870525092 1
19 C=Cc1cc(Br)cnc1CCNc1ccc(I)cc1 2.1225356718601 0.6949988594035714 0.8195817413177886 5.817514996212759 0.6949988594035714 0.8195817413177886 1
20 C=Cc1ccc(NCCc2ncc(Br)cc2C=C)cc1 2.146951006228 0.8245103344316821 0.8180278895808885 5.211455390392865 0.8245103344316821 0.8180278895808885 1
20 C=Cc1cc(Br)cnc1COC(=O)c1cccc(Cl)c1 2.1116306331799954 0.7606850004580716 0.846014514797777 3.274164897517104 0.7606850004580716 0.846014514797777 1
21 C=Cc1cc(Br)cnc1COC(=O)c1ccc(Br)cc1Br 2.7539444432283107 0.5580219539498462 0.8205382714698121 2.5162642294189363 0.5580219539498462 0.8205382714698121 1
