"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"WISP2",2.05355448200726e-13,-1.78869455019689,0.198,0.413,5.41666065719055e-09,-1.78869455019689,"WISP2"
"CDH13",2.57244859782798e-13,-0.439958460816556,0.101,0.301,6.78534766649086e-09,-0.439958460816556,"CDH13"
"EID1",2.6124667172078e-13,0.566343659390545,0.849,0.694,6.89090345997902e-09,0.566343659390545,"EID1"
"ROBO2",2.64995993162983e-13,0.735802123752873,0.459,0.179,6.98979931166001e-09,0.735802123752873,"ROBO2"
"IGF1",2.66650568642377e-13,0.856107176047082,0.474,0.179,7.03344204907997e-09,0.856107176047082,"IGF1"
"RPS4Y1",2.76541647093305e-13,-0.67713175627625,0.455,0.709,7.29433902538010e-09,-0.67713175627625,"RPS4Y1"
"SCGB1A1",2.81154527310892e-13,0.423352649057073,0.711,0.423,7.41601296687939e-09,0.423352649057073,"SCGB1A1"
"PDLIM3",3.03742163524952e-13,0.707227616330718,0.638,0.352,8.01180704729766e-09,0.707227616330718,"PDLIM3"
"COL8A1",4.45741916934911e-13,1.12977319988967,0.661,0.418,1.17573345429921e-08,1.12977319988967,"COL8A1"
"ALDH1A1",5.60737885745684e-13,-1.20820518342122,0.3,0.495,1.47905832123139e-08,-1.20820518342122,"ALDH1A1"
"CD63",6.68381403667888e-13,0.476323306666434,0.993,0.964,1.76298962845479e-08,0.476323306666434,"CD63"
"RAB31",7.5728962974991e-13,0.61182408128599,0.48,0.189,1.99750285639134e-08,0.61182408128599,"RAB31"
"RPS18",8.09309238192474e-13,-0.646525128606855,0.991,0.995,2.13471497758029e-08,-0.646525128606855,"RPS18"
"RPL38",8.38700885537397e-13,-0.56176135161744,0.898,0.959,2.21224132578199e-08,-0.56176135161744,"RPL38"
"EEF1G",9.1060165219072e-13,-0.592240278257695,0.83,0.959,2.40189397798346e-08,-0.592240278257695,"EEF1G"
"EIF3E",1.05943603009002e-12,-0.588652784207744,0.61,0.776,2.79447441656845e-08,-0.588652784207744,"EIF3E"
"DCXR",1.10612457995605e-12,-0.615913838809601,0.341,0.566,2.91762480455008e-08,-0.615913838809601,"DCXR"
"AC090498.1",1.26475731527191e-12,-0.572171752864599,0.963,1,3.33605037049272e-08,-0.572171752864599,"AC090498.1"
"RPS27",1.29652682878873e-12,-0.582747637506278,0.989,0.99,3.41984881629604e-08,-0.582747637506278,"RPS27"
"RPS25",1.58369616818525e-12,-0.451027804705006,0.983,0.995,4.17731538282224e-08,-0.451027804705006,"RPS25"
"RPSA",1.62663826714931e-12,-0.564687932744667,0.957,0.99,4.29058375725973e-08,-0.564687932744667,"RPSA"
"EEF1A1",1.69035711721866e-12,-0.693683464444632,1,1,4.45865496808766e-08,-0.693683464444632,"EEF1A1"
"SERPING1",1.80645388436542e-12,-0.773772438218023,0.93,0.923,4.76488341079066e-08,-0.773772438218023,"SERPING1"
"PLAC9",1.972557966968e-12,0.773538924497816,0.824,0.668,5.20301614947149e-08,0.773538924497816,"PLAC9"
"RPL4",2.00342119820566e-12,-0.625907683245974,0.924,0.959,5.28442409450708e-08,-0.625907683245974,"RPL4"
"COL1A2",2.31573946925408e-12,0.363573968736815,0.983,0.857,6.1082259980515e-08,0.363573968736815,"COL1A2"
"DIO2",2.81900681209959e-12,0.739174411607977,0.218,0.005,7.4356942682751e-08,0.739174411607977,"DIO2"
"CXCL14",2.84941523516164e-12,1.4380568162981,0.283,0.046,7.51590256578586e-08,1.4380568162981,"CXCL14"
"LMCD1",3.31578259338648e-12,-0.632667411979577,0.46,0.663,8.74603974657553e-08,-0.632667411979577,"LMCD1"
"COMP",4.15934131429125e-12,1.25152513852088,0.285,0.046,1.0971094584706e-07,1.25152513852088,"COMP"
"PAM",4.20766657701431e-12,0.622533533524901,0.475,0.219,1.10985621301906e-07,0.622533533524901,"PAM"
"MFAP2",4.43865395518665e-12,0.530092547170587,0.742,0.48,1.17078375375958e-07,0.530092547170587,"MFAP2"
"SAA1",4.4936351904287e-12,-1.18487816793354,0.026,0.143,1.18528615417938e-07,-1.18487816793354,"SAA1"
"PTGDS",9.2635826514009e-12,1.16880252874295,0.78,0.617,2.44345519596002e-07,1.16880252874295,"PTGDS"
"IMPDH2",9.7331505285846e-12,-0.480859713000985,0.333,0.571,2.56731311492476e-07,-0.480859713000985,"IMPDH2"
"PCBP2",9.78992998303372e-12,-0.512268978699443,0.83,0.939,2.5822898316248e-07,-0.512268978699443,"PCBP2"
"DDT",1.08965754714631e-11,-0.47442562755477,0.181,0.388,2.87418971210781e-07,-0.47442562755477,"DDT"
"PABPC1",1.25925896091118e-11,-0.540657193883815,0.868,0.944,3.32154736119541e-07,-0.540657193883815,"PABPC1"
"RPL14",1.33329910724558e-11,-0.496763621265382,0.995,0.985,3.51684305518167e-07,-0.496763621265382,"RPL14"
"ENTPD1",1.34387906358336e-11,0.443751535803481,0.239,0.026,3.54474980601382e-07,0.443751535803481,"ENTPD1"
"NFIB",1.82633180251125e-11,0.49992979852137,0.59,0.311,4.81731539548392e-07,0.49992979852137,"NFIB"
"RPL18A",2.42713534337084e-11,-0.523426423378432,0.988,0.995,6.40205489520928e-07,-0.523426423378432,"RPL18A"
