size smiles plogp qed sa rges rges qed sa max_or_val 
17 CCCCN1C(=O)C(CC)(CC)C(=O)C=C1C -0.01886965876363078 0.6893976764724836 0.7859033712484853 -0.7188558362533993 -0.0 0.6893976764724836 0.7859033712484853 1
16 CCC1(CC)C(=O)C=C(C(C)C)N(C)C1=O -0.8895338412019891 0.6887806066776461 0.7485184620886679 1.9048466911954813 0.7472244001724818 0.6887806066776461 0.7485184620886679 1
17 CCCCC1=C(C)NC(=O)C(CC)(CC)C1=O -0.04929273568670833 0.7471605738838438 0.7772008071459211 1.121779205629325 1.121779205629325 0.7471605738838438 0.7772008071459211 1
17 CCCC1=C(C)C(=O)C(CC)(CC)C(=O)N1C -0.26298581260978615 0.704958100501628 0.7587793541544681 1.121779205629325 1.2983458599531823 0.704958100501628 0.7587793541544681 1
17 CCC1(CC)C(=O)NC(C(C)(C)C)=C(C)C1=O -0.42005334391568994 0.7505894743856368 0.7520162951204789 0.9643100055399256 1.121779205629325 0.7505894743856368 0.7520162951204789 1
17 CCC1=C(C(C)C)C(=O)C(CC)(CC)C(=O)N1 -0.4073672811412541 0.7641581213127205 0.7534258576509717 0.881713135940344 -0.6736123053818481 0.7641581213127205 0.7534258576509717 1
17 CC=C(C)C1=C(C)NC(=O)C(CC)(CC)C1=O -0.5660518965258703 0.7644457128374572 0.7446720114971254 -0.0 -0.0 0.7644457128374572 0.7446720114971254 1
16 CCCC1=C(C)NC(=O)C(CC)(CC)C1=O -0.5219100138098698 0.7444474794713747 0.7680322206877922 1.121779205629325 -0.0 0.7444474794713747 0.7680322206877922 1
17 CCCCC1=C(C)C(=O)C(CC)(CC)C(=O)N1 -0.1371419664559399 0.7471605738838439 0.7674397815048954 -0.0 -0.0 0.7471605738838439 0.7674397815048954 1
17 CCCC1=C(CC)C(=O)C(CC)(CC)C(=O)N1 -0.20743735107132455 0.7471605738838439 0.7596291832142972 -0.0 -0.0 0.7471605738838439 0.7596291832142972 1
16 C=C(C)C1=C(C)NC(=O)C(CC)(CC)C1=O -0.8996130156860431 0.7434326830767055 0.7509541093682174 1.121779205629325 -0.0 0.7434326830767055 0.7509541093682174 1
15 CCC1(CC)C(=O)C(C)=C(C)N(C)C1=O -1.0328804872249693 0.6532349844850547 0.7599243903083368 1.8404793139120244 -0.6130426038440591 0.6532349844850547 0.7599243903083368 1
17 CCC1=C(C)C(=O)C(CC)(CC)C(=O)N1CC -0.26532707135104516 0.704958100501628 0.7585192142943282 1.121779205629325 -0.6935000442961541 0.704958100501628 0.7585192142943282 1
17 CCC1(CC)C(=O)NC(C)=C(CC(C)C)C1=O -0.2877585398825131 0.7641581213127205 0.7667157177908318 -0.0 -1.5674385016539754 0.7641581213127205 0.7667157177908318 1
17 CCCN1C(=O)C(CC)(CC)C(=O)C(C)=C1C -0.09686658184055474 0.704958100501628 0.7772370464621604 -0.0 -0.0 0.704958100501628 0.7772370464621604 1
17 CCCC1=CC(=O)C(CC)(CC)C(=O)N1CC -0.19694965876363213 0.6893976764724835 0.7661167045818185 1.121779205629325 -0.0 0.6893976764724835 0.7661167045818185 1
