size smiles bbbp rges rges qed sa max_or_val 
30 C=Cc1cc(Cl)c(Cl)cc1C(NC1=C2C=CC(=N1)C2)c1ccc2cccnc2c1O 0.9999624167077152 10.271570699846176 8.809895311653325 0.5031835382084828 0.5924099081499524 1
32 CC=Cc1cc(Cl)c(Cl)cc1C(Nc1nc(C)ccc1N)c1ccc2cccnc2c1O 0.9918749878191282 11.17058568477124 5.742747033980197 0.30306913061374285 0.7353922857000099 1
32 Cc1cccc(NC(c2cc(Cl)c(Cl)cc2C=N)c2ccc3cccnc3c2ON=N)n1 0.9966366914927361 10.845702885449153 10.345123721540894 0.15905586417261128 0.6934473115288821 1
31 Cc1cc(N)cc(NC(c2cc(Cl)c(Cl)cc2O)c2c(N)cc3cccnc3c2O)n1 0.9801972484998737 9.978581864372341 9.615488935364429 0.2726215675954422 0.7246842999487852 0
32 Cc1cnc2c(O)c(C(c3cc(Cl)c(Cl)cc3O)N(N)c3ccc(N)cn3)ccc2c1C 0.9420972603787313 7.567116542165649 7.016436027606319 0.24419386468025545 0.7037200906728148 0
31 Nc1ccc(NC2(c3cc(Cl)c(Cl)cc3N)NOc3c2c(N)cc2cccnc32)nc1 0.9964882116831094 6.086008376399704 7.472246691355182 0.2941941071392525 0.6734543560554693 0
29 Nc1cc(Cl)c(Cl)cc1C(Nc1ncccc1N)c1ccc2cccnc2c1O 0.982477840259747 9.71131265601386 8.65781521350765 0.3417520707783688 0.7624938628370166 0
32 Cc1cc(Cl)c(Cl)cc1C(Nc1nc(N)cc(N)c1N)c1cc(C)c2cccnc2c1O 0.9853297637796622 7.788296851607185 8.270569728023895 0.27687947802232404 0.7315314543091787 0
32 C=NOc1c(C(Nc2cccc(C)n2)c2ccc(Cl)c(Cl)c2C)c(N)cc2cccnc12 0.9931763134152513 6.453203730976168 6.924074769597478 0.19703597602793518 0.7028777557854801 0
30 Nc1cccnc1N1Oc2c3c(N)c(c4cccnc24)Cc2c(ccc(Cl)c2Cl)C31 0.9972929649794888 5.61371157643568 6.157543407726527 0.4124288330131225 0.6125199260390403 0
29 Nc1ccc(NC(c2ccc(Cl)c(Cl)c2)c2c(N)cc3cccnc3c2O)nc1 0.9628812327590711 7.881607750520475 6.355458534069031 0.34175207077836883 0.7569281967957409 0
31 Nc1cnc(NC(c2cc(N)c(Cl)c(Cl)c2)c2c(N)cc3cccnc3c2O)c(N)c1 0.9895572050898078 7.2932183310776555 7.57397334932409 0.24932670359193604 0.714974460950574 0
32 COc1cc(Cl)c(Cl)cc1C(Nc1nc(C)ccc1N)c1c(N)cc2cccnc2c1O 0.9793742191546092 8.590692611330862 9.680523568404253 0.29138464172290324 0.7372737934307313 0
32 C=NOc1c(C(Nc2cc(C)cc(C)n2)c2cc(Cl)c(Cl)cc2C)ccc2cccnc12 0.9943045910472927 8.130866694642735 8.31641136616756 0.24472570591683324 0.7245317728794972 0
32 CNOc1cc(Cl)c(Cl)cc1C(Nc1cccc(C)n1)c1cc(C)c2cccnc2c1O 0.9632375929505115 9.44759242949849 4.460682220717132 0.30199956188768423 0.732697926725651 0
32 Cc1ccc(N)c(NC(c2cc(Cl)c(Cl)cc2N)c2cc(C)c3cc(N)cnc3c2O)n1 0.9966342722133206 8.805525373683505 8.360778335418393 0.2590097762795478 0.7282739368266611 0
30 Cc1ccc(N)c(NC(c2cc(Cl)c(Cl)cc2N)c2ccc3cccnc3c2O)n1 0.9863559155921742 10.846767972688607 9.298211219549756 0.3200573436150976 0.7553980873835935 0
31 Cc1cc(N)cc(NC(c2ccc(Cl)c(Cl)c2C=N)c2ccc3cccnc3c2O)n1 0.9715043863275243 9.68282470830069 8.648877042408845 0.28931925122240104 0.7216843636915112 0
31 Cc1ccc(N)c(NC(c2cc(Cl)c(Cl)cc2O)c2c(N)cc3cccnc3c2O)n1 0.9681481687059561 9.852234941441937 9.134120240000906 0.2726215675954422 0.728016500306567 0
32 COc1c(C(Nc2cc(C)cc(C)n2)c2cc(Cl)c(Cl)cc2O)c(N)cc2cccnc12 0.9718155013025006 6.572470929746948 8.529519198474004 0.30825170737223934 0.7366167493512151 0
32 Cc1cc(C)nc(NC(c2cc(Cl)c(Cl)cc2O)c2c(N)cc3cccnc3c2ON)c1 0.9810431257580541 7.855397501235158 7.314242197178584 0.23099358474200388 0.7176931538455972 0
32 Cc1cccc(NC(c2cc(N)c(Cl)c(Cl)c2)c2c(N)cc3c(C)ccnc3c2ON)n1 0.9926315490770872 6.036954562095453 6.211300353980252 0.234684978198802 0.712785634398752 0
31 Cc1cccc(NC(c2cc(Cl)c(Cl)cc2C)c2c(N)cc3c4ccnc3c2ON4)n1 0.9950025264291097 6.235941621872935 5.534455070805899 0.3267658053732966 0.5895269777660118 0
32 Cc1cccc(NC(c2cc(Cl)c(Cl)cc2C=N)c2c(N)c(C)c3cccnc3c2O)n1 0.9979559874795038 7.643104396579757 8.945123968498393 0.211888178849356 0.7045752627479308 0
32 Cc1cc(N)cc(NC(c2cc(Cl)c(Cl)c(N)c2C=N)c2ccc3cccnc3c2O)n1 0.99691992801837 7.586545049992068 7.9377608253744185 0.19941431467315784 0.7015749170262368 0
32 C=C=NOc1c(C(Nc2cccc(C)n2)c2cc(Cl)c(Cl)cc2C)ccc2cccnc12 0.9963529252297898 8.935744792534852 9.045348249557646 0.24954259976593043 0.7120359843944779 0
32 C=Cc1cc(Cl)c(Cl)cc1C(Nc1nc(C)c(N)cc1N)c1ccc2cccnc2c1O 0.9942597606495878 7.028072839145334 7.411094060374157 0.28898403850412996 0.7189161443382506 0
32 C#CC=Cc1cc(Cl)c(Cl)cc1C(Nc1cccc(C)n1)c1ccc2cccnc2c1O 0.9936984278966847 9.637484790651426 9.423343742135748 0.3218490804859586 0.726364302230488 0
