size smiles plogp rges rges qed sa max_or_val 
22 C=C1CCC(=C)N1C1CCN(c2ncnc3sccc23)CC1 0.6751475562747853 2.8330775844121865 2.328121344013147 0.8444687927018322 0.7657608395860869 1
25 CCCCc1c(C)sc2ncnc(N3CCC(N4CCCC4)CC3)c12 1.821322926099442 -0.0 1.121779205629325 0.7925011917961262 0.823822547344382 1
25 CCCC1(N2CCCC2)CCN(c2ncnc3sc(C)c(C)c23)CC1 1.7206118407464386 0.3329011562358264 0.4282791613331708 0.8028672531887174 0.7975079823051594 1
25 C=C1CC(=CCC)N(C2CCN(c3ncnc4sccc34)CC2)C1=C 1.325864148438746 2.3770227031430355 0.5114427058429438 0.7992613685325081 0.7329182387154157 1
25 C=C1CC(=C(C)C)N(C2CCN(c3ncnc4sccc34)CC2)C1=C 1.396528395459332 2.308600385913645 1.5936065225545017 0.7820243702086013 0.7407698217177031 1
24 C=C1CCC(=CC)N1C1(C)CCN(c2ncnc3sccc23)CC1 1.0790364267792159 2.4822592353639306 1.904885860941869 0.801840075423564 0.7239484918643568 1
25 CC=C1CCCN1C1(CCC)CCN(c2ncnc3sccc23)CC1 1.5039523465420137 2.1813061307303414 1.8815916383794336 0.7852559756378679 0.7415502607268898 1
25 C=C1CCC(=C(C)C)N1C1(C)CCN(c2ncnc3sccc23)CC1 1.5053127941592246 2.161061144890435 2.193164222649153 0.7633632364779934 0.7279680882399133 1
25 C=CCC1(N2CCCC2)CCN(c2ncnc3sc(C)c(C)c23)CC1 1.3530445330541303 1.121779205629325 1.121779205629325 0.7638808336208462 0.7815560592282362 0
22 C=C1CCC(=C)N1C1CCN(c2ncnc3sccc23)CC1 0.6751475562747853 2.8330775844121865 2.6812159497899968 0.8444687927018322 0.7657608395860869 0
25 CC=C1CCCN1C1(C)CCN(c2ncnc3sc(C)c(C)c23)CC1 1.4751579945925926 1.121779205629325 -0.0 0.7827968917182833 0.7565019993991764 0
24 C=C1CCC(=CC)N1C1(C)CCN(c2ncnc3sccc23)CC1 1.0790364267792159 2.331916248827087 1.6836961964879231 0.801840075423564 0.7239484918643568 0
23 C=C1CC(=C)N(C2CCN(c3ncnc4sccc34)CC2)C1=C 0.6730042829702265 2.1593907563511276 2.0368772820511873 0.8371237743608525 0.747067142552247 0
25 C=C1CCC(=CC)N1C1(C)CCN(c2ncnc3sc(C)cc23)CC1 1.3631134008764496 1.8482504555243366 -0.7723408466743281 0.7698632930706765 0.7212437112084938 0
24 C=C1CC(=C)N(C2(C)CCN(c3ncnc4sccc34)CC2)C1=C 0.8144794132045545 2.226959483075377 0.3329011562358264 0.815235545029593 0.7194421570227278 0
24 C=CC=C1CCCN1C1(C)CCN(c2ncnc3sccc23)CC1 0.8911854377682271 1.2983458599531823 1.121779205629325 0.8374283934717731 0.741698381974247 0
25 CC=CC=C1CCCN1C1(C)CCN(c2ncnc3sccc23)CC1 1.2754457079751003 2.262881677625603 1.9732087373565768 0.8058272103080226 0.741049523108344 0
25 C=C1CCCN1C1(C(C)C)CCN(c2nc(C)nc3sccc23)CC1 1.2278255352209788 1.121779205629325 1.121779205629325 0.8041186370787052 0.7359561705801083 0
22 Cc1sc2ncnc(N3CCC(N4CCCC4)CC3)c2c1C 1.0081216908901691 1.2983458599531823 1.121779205629325 0.8501122902940524 0.8483757434322408 0
25 CC=CCc1c(C)sc2ncnc(N3CCC(N4CCCC4)CC3)c12 1.3461764561310527 1.2983458599531823 1.121779205629325 0.7693247542016849 0.7959173840145611 0
25 C=CCc1c(CC)sc2ncnc(N3CCC(N4CCCC4)CC3)c12 1.2072644645609785 1.121779205629325 1.121779205629325 0.756800707930268 0.7956071627289973 0
23 Cc1nc(N2CCC(N3CCCC3)CC2)c2c(C)c(C)sc2n1 1.2759558913618347 1.2983458599531823 1.121779205629325 0.840641169326346 0.8438662101513147 0
25 C=C1CC(=CCC)N(C2CCN(c3ncnc4sccc34)CC2)C1=C 1.325864148438746 2.3770227031430355 0.14228493920648 0.7992613685325081 0.7329182387154157 0
24 C=C1CC(=CC)N(C2CCN(c3ncnc4sccc34)CC2)C1=C 0.9560631826320583 2.414904392781278 2.3379682334659773 0.815235545029593 0.7351736869591172 0
25 C=C1CC(=C(C)C)N(C2CCN(c3ncnc4sccc34)CC2)C1=C 1.396528395459332 2.308600385913645 0.15746936981630988 0.7820243702086013 0.7407698217177031 0
25 C=C1CCCN1C1(C(C)C)CCN(c2ncnc3scc(C)c23)CC1 1.183303325036797 1.2983458599531823 -0.0 0.8041186370787051 0.7310092583374214 0
22 C=C1CCCN1C1CCN(c2ncnc3scc(C)c23)CC1 0.7162858255055529 1.121779205629325 -0.0 0.8479492496920682 0.7931406472783945 0
23 C=C1CCC(=C)N1C1(C)CCN(c2ncnc3sccc23)CC1 0.8060497375156812 1.2983458599531823 2.4168448443649364 0.828794139608757 0.7369610819461864 0
23 C=CC=C1CCCN1C1CCN(c2ncnc3sccc23)CC1 0.7678118107365757 2.050539226124722 2.427295481593714 0.858011959383014 0.771334645637397 0
25 CC=C1CCN(C2CCN(c3ncnc4sccc34)CC2)C1=C(C)C 1.501039148438747 2.11983957301295 1.968547616960346 0.7884486119917536 0.766115460937638 0
25 C=CC(C)=C1CCCN1C1(C)CCN(c2ncnc3sccc23)CC1 1.25164107151567 1.121779205629325 -0.0 0.8058272103080226 0.7384045635017407 0
25 C=C1CCC(=C(C)C)N1C1(C)CCN(c2ncnc3sccc23)CC1 1.5053127941592246 1.210165823441321 -0.26491115766311857 0.7633632364779934 0.7279680882399133 0
