size smiles bbbp rges sa qed rges qed sa max_or_val 
18 CC1(C)C(=O)N=C2C1=C(O)C(=O)c1ccccc12 0.012518244152750237 1.8298034008554547 0.7933400965712804 0.7554709620474693 1.5569188098300888 0.7554709620474693 0.7933400965712804 1
22 C=Cc1cc2c(cc1CC)C(=O)C(O)=C1C2=NC(=O)C1(C)C 0.19848041461133972 2.3528657469268692 0.7370696197360217 0.9103063516962544 0.28580755705366523 0.9103063516962544 0.7370696197360217 1
20 Cc1cc(N)c2c(c1)C(=O)C(O)=C1C2=NC(=O)C1(C)C 0.044491653614323126 3.3534995520200246 0.7521231764191741 0.7044474568651529 1.443964188096221 0.7044474568651529 0.7521231764191741 1
20 Cc1cc2c(cc1O)C(=O)C(O)=C1C2=NC(=O)C1(C)C 0.02301409453509192 2.384934560563626 0.7586204187994354 0.7557631650660969 2.0139241224652102 0.7557631650660969 0.7586204187994354 1
21 COCCC1(C)C(=O)N=C2C1=C(O)C(=O)c1ccccc12 0.17592714308735713 2.2171073273777693 0.7287806063543985 0.921988598795299 2.0080640314009006 0.921988598795299 0.7287806063543985 1
23 CCC1(CC#N)C(=O)N=C2C1=C(O)C(=O)c1cc(C)c(N)cc12 0.7399678356084946 2.0775789804438785 0.6831616029531413 0.8123345105611127 1.2981545963901746 0.8123345105611127 0.6831616029531413 1
23 C=C=CCC1(CCC)C(=O)N=C2C1=C(O)C(=O)c1ccccc12 0.7903731276784781 1.6465580785314446 0.6796049884990469 0.8651140159654939 1.6858216535451933 0.8651140159654939 0.6796049884990469 1
22 C=CCC1(CC=C)C(=O)N=C2C1=C(O)C(=O)c1ccccc12 0.7869422090628571 1.8035064758101722 0.7494891379782685 0.8670297402776167 2.2171073273777693 0.8670297402776167 0.7494891379782685 1
20 CCC1(CC)C(=O)N=C2C1=C(O)C(=O)c1ccccc12 0.12784332482183242 1.8035064758101722 0.7817544998127618 0.8972802134037693 1.5569188098300888 0.8972802134037693 0.7817544998127618 1
23 CCc1cc2c(cc1C)C1=NC(=O)C(C)(CCO)C1=C(O)C2=O 0.41795616412010733 2.622850376079249 0.6996419999754738 0.8960078291634871 2.42156846234537 0.8960078291634871 0.6996419999754738 1
23 CCc1cc2c(cc1C)C(=O)C(O)=C1C2=NC(=O)C1(CC)CC 0.41195439580889864 2.0775789804438785 0.7558136122116197 0.9251773552723329 1.8419635447634763 0.9251773552723329 0.7558136122116197 1
23 CCCOc1cc2c(cc1C)C(=O)C(O)=C1C2=NC(=O)C1(C)C 0.09228028609127543 1.4900880290900242 0.7776627437252674 0.9297596332766961 1.0152652136582412 0.9297596332766961 0.7776627437252674 1
23 Cc1cc2c(cc1OC(C)C)C1=NC(=O)C(C)(C)C1=C(O)C2=O 0.08951259082393846 1.5569188098300888 0.7692260557701764 0.9097174070157585 2.0080640314009006 0.9097174070157585 0.7692260557701764 1
23 C=CC(=NC)c1ccc2c(c1)C(=O)C(O)=C1C2=NC(=O)C1(C)C 0.15040787199403288 2.511037173398702 0.7130098901272527 0.8530040980250049 2.0390061010574674 0.8530040980250049 0.7130098901272527 1
20 C#Cc1ccc2c(c1)C(=O)C(O)=C1C2=NC(=O)C1(C)C 0.01202891594571056 2.455765062942831 0.749000524158786 0.7297609501642152 1.398778813384577 0.7297609501642152 0.749000524158786 1
