"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"VIM",4350.0334369521,0.814273729990994,0.160951326749988,5.0591302751784,4.21173057131657e-07,0.00304887176057606,"Yes"
"HIPK2",4822.19201929595,-0.609453839521022,0.127477993452516,-4.78085529129415,1.74550977595057e-06,0.00424294003720022,"Yes"
"NSD1",3139.13937794479,-0.494656182098506,0.103497984741636,-4.77937984332087,1.75836719320357e-06,0.00424294003720022,"Yes"
"NEAT1",5814.16113671559,0.994302563930202,0.212065794921672,4.68865129474301,2.75011552500595e-06,0.00497702157137952,"Yes"
"HPN",2115.17140770917,0.704500008950704,0.151854061777328,4.63932278600327,3.49552728256911e-06,0.00506082439970356,"Yes"
"APOC3",1870.10129222844,0.625751212044497,0.1369189909762,4.57022950273764,4.87190386219874e-06,0.00587795200974279,"Yes"
"FRK",4309.9323391958,-0.456237833821628,0.104042042859411,-4.38512952343823,1.15916784807652e-05,0.00982800927422705,"Yes"
"PEG10",93250.353704234,-0.558631694184027,0.127726763685571,-4.37364635307938,1.22188262837469e-05,0.00982800927422705,"Yes"
"TRIM71",5961.74259781106,-0.515561459423313,0.117735519946963,-4.37897976460768,1.19236201650026e-05,0.00982800927422705,"Yes"
"MTCO1P12",2570.75227798372,0.672072866727139,0.158942262519044,4.22840883271441,2.35349845250861e-05,0.0140658486999122,"Yes"
"SEC61G",7349.7179541364,0.483634560507529,0.113654821351847,4.25529295418376,2.08775480244683e-05,0.0140658486999122,"Yes"
"UHRF1",2656.67669962747,-0.699130987873472,0.16578770500512,-4.21702554994584,2.47545936463987e-05,0.0140658486999122,"Yes"
"ZNRF3",2125.08302251986,-0.469382487955409,0.111427026395201,-4.21246535190339,2.52598470919821e-05,0.0140658486999122,"Yes"
"CBL",1415.08953338016,-0.508999328871126,0.123207092039132,-4.13125024255471,3.60795553355846e-05,0.0180601948723838,"Yes"
"REV3L",1593.95301247862,-0.498811476301218,0.121425699265055,-4.10795638254786,3.99175463403979e-05,0.0180601948723838,"Yes"
"TBC1D5",3020.84041735964,-0.536189728516341,0.130189108264907,-4.11854521213335,3.81271771211103e-05,0.0180601948723838,"Yes"
"NF2",2968.03444774519,-0.625827944717871,0.153865885072349,-4.06735998966633,4.7548759423915e-05,0.0202473805570424,"Yes"
"ABCA5",1033.1499362472,0.640634195683649,0.158114496662807,4.0517106856423,5.08445126694073e-05,0.0204479681785466,"Yes"
"NT5C3A",3589.24001948166,0.801628171472438,0.199591857135533,4.01633705391144,5.9109700389517e-05,0.022520795848406,"Yes"
"AKR1C1",18019.8974526855,0.548170636911705,0.140031447270495,3.91462523309367,9.05447334181235e-05,0.0239063604365628,"Yes"
"DDI2",4123.07664962589,-0.458038718934193,0.116428544572689,-3.93407579400108,8.35174279213424e-05,0.0239063604365628,"Yes"
"FKBP5",1419.06043391163,-0.536097000411337,0.137038708136241,-3.91201148713663,9.15305569955171e-05,0.0239063604365628,"Yes"
"KAT6A",2912.06057477139,-0.544345619511756,0.138959316455079,-3.91730208091321,8.95455106756893e-05,0.0239063604365628,"Yes"
"PRKDC",17855.6118377001,-0.423014327171113,0.107774019418531,-3.92501207112239,8.67253889705205e-05,0.0239063604365628,"Yes"
