size smiles qed sa rges qed sa max_or_val 
20 CC=C(c1ccccc1C)n1ncc2c(N)ncnc21 0.7729210898173696 0.7997156088791341 2.768049165829537 0.7729210898173696 0.7997156088791341 1
20 CC=C(c1ccc(C)cc1)n1ncc2c(N)ncnc21 0.7729210898173696 0.8104953659641543 1.7009625590230817 0.7729210898173696 0.8104953659641543 1
22 C=C(c1cccc(Cl)c1C)n1ncc2c(NC)nc(C)nc21 0.8014972594824187 0.7895125932115599 1.0117705173217149 0.8014972594824187 0.7895125932115599 1
21 C=C(c1ccc(C)c(Cl)c1C)n1ncc2c(N)ncnc21 0.7886703736731239 0.7795454332735255 2.273236041911871 0.7886703736731239 0.7795454332735255 1
21 CC=C(c1ccc(C)c(Cl)c1)n1ncc2c(N)ncnc21 0.7881335178615855 0.7912213447962517 2.0419779048964104 0.7881335178615855 0.7912213447962517 1
22 C=C(c1ccc(C)c(Cl)c1)n1ncc2c(CN)nc(C)nc21 0.806449378367249 0.7851519374738548 -0.04009181732725309 0.806449378367249 0.7851519374738548 1
20 C=C(c1ccc(C)c(Cl)c1)n1ncc2c(N)ncnc21 0.7858367579647703 0.8075985807318428 2.391941621189213 0.7858367579647703 0.8075985807318428 1
21 CC=C(c1ccc(C)cc1C)n1ncc2c(N)ncnc21 0.7826768475504234 0.7928023095941656 1.089676127870607 0.7826768475504234 0.7928023095941656 0
22 CC=C(c1ccc(C)c(Cl)c1C)n1ncc2cnc(C)nc21 0.7077436180719117 0.762734282997184 1.690315575506019 0.7077436180719117 0.762734282997184 0
20 C=C(c1cccc(Cl)c1C)n1ncc2c(N)ncnc21 0.7858367579647703 0.7951246796329416 1.2567363269933196 0.7858367579647703 0.7951246796329416 0
20 CC=C(c1ccccc1C)n1ncc2cnc(C)nc21 0.712574546633271 0.7927185778399978 1.1109016782462222 0.712574546633271 0.7927185778399978 0
20 CC=C(c1ccccc1C)n1ncc2c(N)ncnc21 0.7729210898173696 0.7997156088791341 2.768049165829537 0.7729210898173696 0.7997156088791341 0
20 C=C(c1cccc(Cl)c1C)n1ncc2c(C)ncnc21 0.7218157033788095 0.7895194598527218 1.8531667335645505 0.7218157033788095 0.7895194598527218 0
20 CC=C(c1ccc(C)cc1)n1ncc2cnc(C)nc21 0.712574546633271 0.8034983349250181 2.099396258510852 0.712574546633271 0.8034983349250181 0
20 CC=C(c1ccccc1C)n1ncc2c(Cl)ncnc21 0.6740783000005848 0.7969442188656386 1.0117705173217149 0.6740783000005848 0.7969442188656386 0
20 CC=C(c1cccc(Cl)c1)n1ncc2cnc(C)nc21 0.7205845683944364 0.7881488072597009 1.83397707576478 0.7205845683944364 0.7881488072597009 0
22 CC=C(c1ccc(C)c(Cl)c1C)n1ncc2c(Cl)ncnc21 0.640808799069666 0.7666828328080288 1.8531667335645505 0.640808799069666 0.7666828328080288 0
23 CC=C(c1ccc(C)c(Cl)c1C)n1ncc2c(S)nc(C)nc21 0.5453354660469771 0.736341734626839 1.8786671589650754 0.5453354660469771 0.736341734626839 0
20 CC=C(c1ccc(C)cc1)n1ncc2c(N)ncnc21 0.7729210898173696 0.8104953659641543 1.7009625590230817 0.7729210898173696 0.8104953659641543 0
20 CC=C(c1cccc(Cl)c1)n1ncc2c(N)ncnc21 0.7857068924967765 0.7951458382988371 2.0539861334105325 0.7857068924967765 0.7951458382988371 0
20 C=C(c1ccc(C)cc1C)n1ncc2c(N)ncnc21 0.7726904721028519 0.804383196116458 1.121779205629325 0.7726904721028519 0.804383196116458 0
22 CC=C(c1cccc(Cl)c1C)n1ncc2c(C#N)ncnc21 0.7254689290818676 0.7616416010625137 0.9463474192098084 0.7254689290818676 0.7616416010625137 0
22 C=C(c1cccc(Cl)c1C)n1ncc2c(NC)nc(C)nc21 0.8014972594824187 0.7895125932115599 1.0117705173217149 0.8014972594824187 0.7895125932115599 0
23 CC=C(c1ccc(C)c(Cl)c1C)n1ncc2c(NC)ncnc21 0.7882098336879849 0.7676170551396593 1.0117705173217149 0.7882098336879849 0.7676170551396593 0
21 C=C(c1ccc(C)c(Cl)c1C)n1ncc2c(N)ncnc21 0.7886703736731239 0.7795454332735255 2.273236041911871 0.7886703736731239 0.7795454332735255 0
21 CC=C(c1ccc(C)c(Cl)c1)n1ncc2c(N)ncnc21 0.7881335178615855 0.7912213447962517 2.0419779048964104 0.7881335178615855 0.7912213447962517 0
22 CC=C(c1ccc(C)c(Cl)c1C)n1ncc2c(N)ncnc21 0.7846364835076045 0.7692724923288359 1.089676127870607 0.7846364835076045 0.7692724923288359 0
20 C=C(c1ccc(C)c(Cl)c1)n1ncc2c(N)ncnc21 0.7858367579647703 0.8075985807318428 2.299117092594143 0.7858367579647703 0.8075985807318428 0
21 C=C(c1ccc(C)c(Cl)c1)n1ncc2c(C)nc(C)nc21 0.7199059135310134 0.8027112157668943 0.9463474192098084 0.7199059135310134 0.8027112157668943 0
22 C=C(c1ccc(C)c(Cl)c1)n1ncc2c(C#N)nc(C)nc21 0.7264405065630065 0.7774545856453555 2.5230833561579322 0.7264405065630065 0.7774545856453555 0
