size smiles bbbp rges sa qed qed sa max_or_val 
30 C=Cc1cc(Cl)c(Cl)cc1C(NC1=C2C=CC(=N1)C2)c1ccc2cccnc2c1O 0.9999624167077152 10.165105666327015 0.5924099081499524 0.5031835382084828 0.5031835382084828 0.5924099081499524 1
24 Cn1cc(C(NC2=C3C=CC(=N2)C3)c2ccco2)c2ccccc21 0.9999825568125275 2.8747331117378203 0.6103328065398961 0.7881632423974555 0.7881632423974555 0.6103328065398961 1
24 Cn1cc(C(NC2=C3C=CC(=N2)C3)C2CCCC2)c2ccccc21 0.9999972020667496 2.4042066513123492 0.6142736516103187 0.8753376203392036 0.8753376203392036 0.6142736516103187 1
24 C1=CC2=C(NC(c3ccccc3)c3c[nH]c4ccccc34)N=C1C2 0.9999676183369544 3.6139829261859244 0.6493606926600357 0.7328524110441296 0.7328524110441296 0.6493606926600357 1
19 Cn1cc(CNC2=C3C=CC(=N2)C3)c2ccccc21 0.9999781386045385 2.888865123308095 0.667936468918915 0.8900912334664242 0.8900912334664242 0.667936468918915 1
25 Cc1ccccc1C(NC1=C2C=CC(=N1)C2)c1c[nH]c2ccccc12 0.9999826299188045 3.390563823238394 0.6397506635813186 0.7117265086223797 0.7117265086223797 0.6397506635813186 1
23 Clc1cccc(C(Cc2ccccc2)NC2=C3C=CC(=N2)C3)c1 0.9999533535488168 3.806440947883147 0.6605174849448907 0.8372444162619103 0.8372444162619103 0.6605174849448907 1
24 Cc1ccccc1C(NC1=C2C=CC(=N1)C2)c1occc(=O)c1O 0.9998790676999177 2.3891441785720198 0.5882135168889469 0.908023977334466 0.908023977334466 0.5882135168889469 1
25 Clc1cccc(C(NC2=C3C=CC(=N2)C3)c2c[nH]c3ccccc23)c1 0.9999702352616895 4.322431941219419 0.6389878777185327 0.6760143856071926 0.6760143856071926 0.6389878777185327 1
25 Fc1ccccc1C(NC1=C2C=CC(=N1)C2)c1c[nH]c2ccccc12 0.9999567627197252 4.264331503330055 0.6373350710657262 0.7206817285000816 0.7206817285000816 0.6373350710657262 1
24 C1=CC2=C(NC(c3cccnc3)c3c[nH]c4ccccc34)N=C1C2 0.9999572375660876 3.395157429582202 0.6274346242839672 0.7681821875408494 0.7681821875408494 0.6274346242839672 1
26 C=Cc1cc(Cl)ccc1C(NC1=C2C=CC(=N1)C2)c1occc(=O)c1O 0.9999235036034433 3.4765883736616328 0.5581902016198828 0.8398374937196995 0.8398374937196995 0.5581902016198828 1
24 O=c1ccoc(C(NC2=C3C=CC(=N2)C3)c2cccc(Cl)c2)c1O 0.9998131900155327 2.413199620735071 0.5865392693973082 0.8950867502847445 0.8950867502847445 0.5865392693973082 1
25 Clc1ccccc1C(NC1=C2C=CC(=N1)C2)c1c[nH]c2ccccc12 0.9999804622854902 5.212058384385033 0.6380573163879714 0.6760143856071926 0.6760143856071926 0.6380573163879714 1
23 O=c1ccoc(C(NC2=C3C=CC(=N2)C3)c2ccccc2)c1O 0.9997785954383052 3.049335815391587 0.5957470148969405 0.9103616806136321 0.9103616806136321 0.5957470148969405 1
25 Cn1cc(C(NC2=C3C=CC(=N2)C3)c2ccccc2)c2ccccc21 0.9999797424945536 3.9503667392536936 0.6436625138931691 0.752572546038835 0.752572546038835 0.6436625138931691 1
25 Cn1cc(C(NC2=C3C=CC(=N2)C3)c2cccnc2)c2ccccc21 0.9999735442466555 4.086499145126814 0.6223290419596971 0.7904478449659518 0.7904478449659518 0.6223290419596971 1
25 C1=CC2=C(NC(c3ccccc3)c3ccc4cccnc4c3)N=C1C2 0.999464544137614 2.392505415463214 0.6527983198529748 0.7651523170533305 0.7651523170533305 0.6527983198529748 0
24 Cn1cc(C(NC2=C3C=CC(=N2)C3)c2ccco2)c2ccccc21 0.9999825568125275 2.8747331117378203 0.6103328065398961 0.7881632423974555 0.7881632423974555 0.6103328065398961 0
24 C1=CC2=C(NC(c3ccccc3)c3c[nH]c4ccccc34)N=C1C2 0.9999676183369544 3.3176496473530284 0.6493606926600357 0.7328524110441296 0.7328524110441296 0.6493606926600357 0
24 Cn1cc(C(NC2=C3C=CC(=N2)C3)C2CCCC2)c2ccccc21 0.9999972020667496 2.4042066513123492 0.6142736516103187 0.8753376203392036 0.8753376203392036 0.6142736516103187 0
25 Clc1cccc(C(NC2=C3C=CC(=N2)C3)c2c[nH]c3ccccc23)c1 0.9999702352616895 3.669156450317548 0.6389878777185327 0.6760143856071926 0.6760143856071926 0.6389878777185327 0
25 Cc1ccccc1C(NC1=C2C=CC(=N1)C2)c1c[nH]c2ccccc12 0.9999826299188045 2.998684894700845 0.6397506635813186 0.7117265086223797 0.7117265086223797 0.6397506635813186 0
24 CCOP(=O)(OCC)C(NC1=C2C=CC(=N1)C2)c1cccc(Cl)c1 0.9995318250370593 2.3437205342311125 0.5972082542487738 0.6698999979906403 0.6698999979906403 0.5972082542487738 0
19 Cn1cc(CNC2=C3C=CC(=N2)C3)c2ccccc21 0.9999781386045385 2.888865123308095 0.667936468918915 0.8900912334664242 0.8900912334664242 0.667936468918915 0
25 Brc1ccccc1C(NC1=C2C=CC(=N1)C2)c1c[nH]c2ccccc12 0.999956163789583 3.9126287368482386 0.631258147988803 0.628912701464476 0.628912701464476 0.631258147988803 0
25 Cc1ccc(C(NC2=C3C=CC(=N2)C3)c2cn(C)c3ccccc23)s1 0.9999779430535763 2.4198304001666457 0.6076511221009553 0.7192211563981076 0.7192211563981076 0.6076511221009553 0
