size smiles bbbp rges qed sa max_or_val 
35 Cc1c2c(cc(CC=C(CCn3ccc(=O)[nH]c3=O)C3CCCC3)c1OC1CCCC1)C(=O)OC2 0.9666590084783632 2.908441452559005 0.44284031637288734 0.7443210997340791 1
37 CCCCCNC(=O)C1(C)CCN1CCC(C)=CCc1c(O)c2c(c(C)c1OCCC1CC1)COC2=O 0.8841465893747944 4.280458619264032 0.20239551041349638 0.692549056442885 0
38 CC(=CCc1c(O)c2c(c(C)c1OCCCC(=O)NCC1CC1)COC2=O)CCn1cc([N+](=O)[O-])nc1C 0.7517098524249063 3.725224500172097 0.13068529162745943 0.7437753199185582 0
35 CCCC(C)(C)C(=O)NCCCCOc1cc2c(c(O)c1CC=C(C)CC[C@H](N)CN)C(=O)OC2 0.7395953451190378 2.8822438618314052 0.1673557952404302 0.6987209595024537 0
44 CC(=CCc1c(O)c2c(c(C)c1OCCc1nc(N3CCNCC3)sc1C)COC2=O)CCC(=O)N(C)c1ccccc1C 0.7011478143867436 2.5286035044749706 0.21736609535668316 0.7313550026990883 0
35 Cc1c2c(c(O)c(CC=CCCC3CCCCC3)c1OCCCCOCCOCCCl)C(=O)OC2 0.8994273917240999 4.457146283730919 0.12282696769389756 0.7631929961544902 0
43 CC(=CCc1c(O)c2c(c(C)c1OCC1CCCCC1)COC2=O)CCc1c(C)[nH]c(C(=O)OC(C2CC2)C2CC2)c1C 0.8558337811307634 3.2474018481307616 0.19412228543571117 0.7228227770082655 0
31 Cc1c2c(c(O)c(CC=C(CCC(F)(F)F)C3CCCC3)c1OC(F)(F)F)C(=O)OC2 0.9108935626879356 3.9243403989615535 0.3140204877011925 0.7397340207230546 0
34 C=CCCOc1c(C)c2c(c(O)c1CC=C(CCN1C(=O)NC(C)(C)C1=O)C(=C)C)C(=O)OC2 0.6614969605321621 3.39333915623864 0.17617825383592287 0.7225394475531467 0
36 CC(=CCc1c(O)c2c(c(C)c1C1CC1)COC2=O)CCSc1ccc(OC(=O)N2CCCC2)cc1 0.8293300458138768 2.201953569661307 0.24922350183969508 0.7688088380133787 0
35 C=CCCN1CCN(CCC(C)=CCc2c(O)c3c(c(C)c2OCCOCCC)COC3=O)CC1 0.869380477741922 2.967162565154352 0.23945704724956798 0.7627811103505252 0
34 CC(=CCc1c(O)c2c(c(C)c1OCCF)COC2=O)CCN(C)CCNS(=O)(=O)C1(C)CC1 0.7504187532764982 4.282909000454531 0.3181780159693811 0.717528243539769 0
38 CC(=CCc1c(O)c2c(c(C)c1OCCNC(C)C)COC2=O)CCN1CCCCC1Cn1ccnc1C 0.8047196533385081 3.701281340017715 0.23663369931875705 0.6946856536793354 0
38 CCCC1=NOC(CCCOc2c(C)c3c(c(O)c2CC=C(C)CCC(=O)N2CCNCC2)C(=O)OC3)C1 0.7136845148810367 3.007431131703833 0.23844556691522836 0.6819084829788004 0
35 Cc1c2c(cc(CC=C(CCn3ccc(=O)[nH]c3=O)C3CCCC3)c1OC1CCCC1)C(=O)OC2 0.9666590084783632 2.977762173994158 0.44284031637288734 0.7443210997340791 0
45 CC(=CCc1c(O)c2c(c(C)c1OCCCCNC(=O)CS(=O)(=O)c1ccc(F)cc1)COC2=O)CCn1ccc(=O)[nH]c1=O 0.593680955001212 2.9494115139178763 0.10329759122538378 0.7444078384464962 0
37 CC(=CCc1c(O)c2c(c(C)c1OCCCNCC1CCCC1)COC2=O)CCn1ccc(=O)[nH]c1=O 0.6063758678161721 2.779226442026544 0.22688524482197026 0.7544406813670422 0
39 CCCC(=CCc1c(O)c2c(c(C)c1OCCCN1CCN(C)CC1)COC2=O)CCn1ccc(=O)[nH]c1=O 0.8708041833045936 4.53145215114148 0.239770337064502 0.7464511966054646 0
42 Cc1c2c(c(O)c(CC=C(CCn3ccc(=O)[nH]c3=O)C(C)C)c1Oc1cccc(C(C)(F)C(F)(F)F)c1)C(=O)OC2 0.6605842407899158 4.323678704953702 0.18042517016804901 0.6600609832838273 0
31 Cc1c(C)c2c(c(O)c1CC=C(CCn1ccc(=O)[nH]c1=O)C1CCCC1)C(=O)OC2 0.9133881898622798 2.8274536139544413 0.5474099819657149 0.752069349761832 0
44 Cc1c2c(c(O)c(CC=C(CCn3ccc(=O)[nH]c3=O)C3CCCC3)c1Oc1ccc(N3CCCCC3=O)cc1)C(=O)OC2 0.7958545887978256 4.141811343521834 0.2527867469880772 0.7365756927617136 0
42 Cc1c2c(c(O)c(CC=C(CCn3ccc(=O)[nH]c3=O)C3CCCC3)c1OCCCNCC1CCNCC1)C(=O)OC2 0.9611142055768074 3.5688213248236744 0.16107468344193238 0.7226470648598632 0
40 CCCCOCCOc1c(C)c2c(c(O)c1CC=C(CCn1ccc(=O)[nH]c1=O)c1ccc(F)cc1)C(=O)OC2 0.9183911299568849 3.841003544106114 0.24004446212017788 0.7549907718400292 0
38 Cc1c2c(c(O)c(CC=C(CCc3cc(-c4ccc(F)cc4)n[nH]3)C3CCCC3)c1OC1CC1)C(=O)OC2 0.751539618410302 2.600698654112602 0.24324160026829464 0.7466041037341308 0
38 CCc1nnc(NC(=O)CCC(=CCc2c(O)c3c(c(C)c2-c2ccccc2)COC3=O)C2CCCC2)s1 0.8795292427126341 4.276307001155532 0.24045337220727758 0.7588321912429523 0
32 C=Cc1c(C)c2c(c(O)c1CC=C(CCn1ccc(=O)[nH]c1=O)C1CCCC1)C(=O)OC2 0.9359459726745731 2.650343785426458 0.5099984837998104 0.7304228833235284 0
38 CCCc1n[nH]c(CCC(=CCc2c(O)c3c(c(C)c2-c2ccccc2)COC3=O)C2CCCC2)c1CC 0.8524758516661828 3.2111309588838144 0.21697342985296386 0.7337779922309551 0
31 Cc1c2c(c(O)c(CC=C(CC[N+](=O)[O-])C3CCCC3)c1-c1ccccc1)C(=O)OC2 0.9500085360299366 3.9857799097206503 0.281134171314275 0.7587736560876901 0
33 CCOC(=O)CCC(=CCc1c(O)c2c(c(C)c1-c1ccccc1)COC2=O)C1CCCC1 0.8596408444042307 3.0882288113052807 0.3936335759760431 0.7794802911914436 0
36 CC(=CCc1c(O)c2c(c(C)c1OCCN1CC3(COC3)C1)COC2=O)CCC(=O)N1CCNCC1 0.8855469807252179 4.021975271229416 0.39189847532816974 0.692317134903746 0
35 CCOCCOCCOc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)N1CCNCC1)C(=O)OC2 0.807514247615374 3.51034563417539 0.24683823401739172 0.7646198049892199 0
