size smiles qed sa rges qed sa max_or_val 
19 C=C(c1ncc(-c2ccc(Cl)cc2)o1)n1cccn1 0.7292758623391935 0.8039232953193428 -0.0 0.7292758623391935 0.8039232953193428 1
18 C=C(c1ncc(SC)o1)n1cc(C(C)C)c(C)n1 0.7912904351545107 0.6992437072463197 0.9641909643149585 0.7912904351545107 0.6992437072463197 1
20 C=C(c1ncc(-c2ccc(Cl)cc2)o1)n1cc(C)cn1 0.729879487636118 0.7975067019965427 1.7009625590230817 0.729879487636118 0.7975067019965427 1
17 C=C(c1ncc(OC)o1)n1cc(C(C)C)cn1 0.8138175606542835 0.7096894196209165 0.6310666758922813 0.8138175606542835 0.7096894196209165 1
21 C=C(c1nc(C)c(-c2ccc(Cl)cc2)o1)n1cc(C)cn1 0.7228641907595765 0.7806401192421448 2.3356929366523578 0.7228641907595765 0.7806401192421448 1
23 C=C(c1nc(Br)c(-c2ccc(Cl)cc2)o1)n1cc(C(C)C)cn1 0.5805231524327504 0.7533915743704287 0.6504169127703529 0.5805231524327504 0.7533915743704287 0
22 C=C(c1nc(C)c(-c2ccc(Cl)cc2)o1)n1cc(CC)cn1 0.7077344650157305 0.7757827921295113 1.0117705173217149 0.7077344650157305 0.7757827921295113 0
23 C=C(c1ncc(-c2ccc(Cl)cc2)o1)n1cc(C(C)C)c(C)n1 0.6658434475440702 0.7853504686011978 1.0117705173217149 0.6658434475440702 0.7853504686011978 0
23 C=C(c1nc(C)c(-c2ccc(Cl)cc2)o1)n1cc(CC)c(C)n1 0.6849063362860155 0.7752492666781211 1.089676127870607 0.6849063362860155 0.7752492666781211 0
18 C=C(c1ncc(SC)o1)n1cc(C(C)C)c(C)n1 0.7912904351545107 0.6992437072463197 0.9641909643149585 0.7912904351545107 0.6992437072463197 0
20 C=C(c1ncc(-c2ccc(Cl)cc2)o1)n1cc(C)cn1 0.729879487636118 0.7975067019965427 1.7009625590230817 0.729879487636118 0.7975067019965427 0
22 C=C(c1ncc(-c2ccc(Cl)cc2)o1)n1cc(C(C)C)cn1 0.6923261538385418 0.7863341568937793 0.6325985577072747 0.6923261538385418 0.7863341568937793 0
17 C=C(c1ncc(OC)o1)n1cc(C(C)C)cn1 0.8138175606542835 0.7096894196209165 0.6310666758922813 0.8138175606542835 0.7096894196209165 0
21 C=C(c1ncc(-c2ccc(Cl)cc2)o1)n1cc(CC)cn1 0.7222407100419572 0.7919429310630923 1.0117705173217149 0.7222407100419572 0.7919429310630923 0
21 C=C(c1nc(C)c(-c2ccc(Cl)cc2)o1)n1cc(C)cn1 0.7228641907595765 0.7806401192421448 2.3356929366523578 0.7228641907595765 0.7806401192421448 0
