,ID,Z_RGES,Z_Up,Z_Down,Penalty,SMILES,GNN_prob,GNN_pred
628,ZINC000239562923,-4.331743048,-2.098381034,2.233362014,0.023065476,Cl[C@]12[C@H]3[C@@H]4[C@@H]1[C@@H]1[C@@H]2[C@@H]3[C@]1(Br)C41OCCO1,0.017568024,0
629,ZINC000023374053,-4.33146695,-1.921044131,2.410422818,0.02797619,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1Cc1ccc(Cl)nc1,0.99069375,1
630,ZINC000005486309,-4.330589008,-1.248468576,3.082120432,0.081696429,CC1=Nc2ccccc2N[C@@]2(C1)[C@@H]([C@@H]1COC(C)(C)O1)O[C@H]1OC(C)(C)O[C@@H]12,0.82617414,1
631,ZINC000677680826,-4.329980068,-1.432901517,2.897078551,0.01235119,O=S1(=O)CC[C@H](CCN(CC2CC2)C2CCCCC2)C1,0.9948464,1
632,ZINC000001111877,-4.329865729,-1.682092117,2.647773612,0.017559524,COC(=O)c1ccc(-n2c(C)cc(C=C3C(=O)NC(=O)NC3=O)c2C)c(C)c1,0.99790204,1
633,ZINC000104191001,-4.327244884,-1.326227181,3.001017703,0.005208333,Clc1ccc(S/N=C\c2ccccc2)cc1,0.85538644,1
634,ZINC000004664751,-4.326788919,-1.663198283,2.663590637,0.010416667,N=C1/C(=C/c2cccc(Br)c2)C(=O)N=C2SC(C(F)(F)F)=NN12,0.89169383,1
635,ZINC000067678333,-4.325799508,-1.538366953,2.787432556,0.026041667,CN1CCN(C(=O)CC[C@H]2CCCN(C(=O)CCCc3ccc(Cl)cc3)C2)CC1,0.98972994,1
636,ZINC000071748065,-4.325631158,-1.416931946,2.908699212,0.015922619,CC[C@@H](Nc1nccc(-c2ccc(C)nc2C)n1)c1cn2cccnc2n1,0.6361079,1
637,ZINC000022589304,-4.323847135,-1.490354299,2.833492836,0.029613095,CC1(C)O[C@@H]2[C@H](CO)O[C@@H](n3c(Br)nc4c(=O)[nH]c(N)nc43)[C@@H]2O1,0.47270495,0
638,ZINC000100031709,-4.322396253,-1.663198283,2.65919797,0.010416667,Oc1c(Cl)cc(Cl)cc1/C=N/c1ccc(F)cc1,0.7907879,1
639,ZINC000004323152,-4.321247518,-1.962219861,2.359027657,0.020833333,Cc1ccc(/C=N/Nc2nc(Nc3ccc(F)cc3)nc(N3CCOCC3)n2)cc1,0.8037205,1
640,ZINC000005188482,-4.321234422,-3.276363936,1.044870486,0.079613095,C=CC[C@H]1CC=C[C@@H](CC=C)N1C[C@H](O)C(F)(F)C(F)(F)C(F)(F)F,0.99969447,1
641,ZINC000011817630,-4.320418771,-1.743909041,2.57650973,0.021130952,C1=CC[C@H](CNCc2cccnc2N2CCN(c3ccccn3)CC2)CC1,0.87050086,1
642,ZINC000063870167,-4.318884958,-1.248468576,3.070416381,0.04360119,Cc1cc(C)c2c(C(=O)N3CCC[C@H]3C)cc(-c3cnn(C(C)C)c3)nc2c1,0.67279243,1
643,ZINC000072377759,-4.318670689,0.391461496,4.710132185,0.057589286,O=C(c1cccnc1)N1CCCC[C@@H]1c1ccnc(Nc2ccccn2)n1,0.57393825,1
644,ZINC000408526938,-4.318342021,-1.663198283,2.655143738,0.005208333,O=C1NC(=O)N(c2ccccc2F)C(=O)[C@@H]1/C=N\Cc1ccccn1,0.035424415,0
645,ZINC000095376148,-4.318342021,-1.663198283,2.655143738,0.005208333,Cc1cnc(N2CCCC3(CCOCC3)C2)nc1,0.9992669,1
646,ZINC000015423489,-4.317132462,-2.900048149,1.417084313,0.040922619,CCCCCCNCc1cccc2[nH]ccc12,0.93677074,1
647,ZINC000012290152,-4.317095313,-1.902528919,2.414566394,0.015922619,Cc1ccc(CNCc2cc3c(C)nn(-c4ccc(F)cc4)c3[nH]c2=O)cc1,0.8783607,1
648,ZINC000019500435,-4.314869222,-1.666628965,2.648240256,0.015922619,CC[C@@H](c1ccc(F)cc1)n1cc(C(=O)N2CCCC[C@@H]2CCN2CCCC2)nn1,0.9617013,1
649,ZINC000000104500,-4.314680221,-2.648206021,1.6664742,0.026636905,O=C1c2ccccc2N[C@H](c2cccc(F)c2)N1c1ccc(F)cc1,0.9424274,1
650,ZINC000028350829,-4.31434133,-2.372369558,1.941971772,0.026636905,O=[N+]([O-])c1ccccc1/C=C\C=N\N1CCN(Cc2cccc3ccccc23)CC1,0.9659786,1
651,ZINC000013953861,-4.314129921,-1.774021015,2.540108906,0.031547619,COC(=O)c1sc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C(=O)OC)c1C,0.6839271,1
652,ZINC000079051758,-4.313339898,0.691450994,5.004790891,0.055952381,C/C=C/C=C/C(=O)NCCS(=O)(=O)C(C)(C)C,0.16123553,0
653,ZINC000102794991,-4.311276491,-1.985586471,2.32569002,0.021428571,COc1ccc(OC)c([C@H]2C=C(c3ccc(C)cc3)Nc3ncnn32)c1,0.86030775,1
654,ZINC000013532874,-4.309742098,-1.248468576,3.061273521,0.04360119,COc1cc(CNc2nnn[nH]2)cc(Br)c1OCc1ccc(C)cc1,0.21782632,0
655,ZINC000004877169,-4.3084892,-2.023120671,2.285368529,0.02827381,Nc1nc(N)c2ncn([C@@H]3C[C@H](O)[C@H](CO)O3)c2n1,0.28689834,0
656,ZINC000002504108,-4.302507573,-2.131767804,2.170739769,0.010714286,O=C1N2CCSC2=N[C@@]1(Nc1nc2ccccc2s1)C(F)(F)F,0.9404525,1
657,ZINC000096408220,-4.300596417,-1.50997585,2.790620567,0.013988095,COCC[S@](=O)Cc1cccc(NC(=O)/C=C/c2ccsc2)c1,0.967088,1
658,ZINC000004902434,-4.300550888,-2.095654546,2.204896341,0.020833333,Cc1ccc(/C=C/C(=O)NC[C@H](C)NC(=O)/C=C/c2ccc(C)cc2)cc1,0.10424771,0
659,ZINC000017028486,-4.29942799,-1.494181066,2.805246924,0.092113095,O=C1N=C(O)/C(=C\c2coc3ccc(Br)cc3c2=O)C(=O)N1,0.6209366,1
660,ZINC000001117645,-4.299019798,-1.265940059,3.033079739,0.019196429,COc1ccc(CNc2nc(-c3ccccc3)nn2C(=O)c2ccc(F)cc2)cc1,0.7081505,1
661,ZINC000004914742,-4.298869079,-1.945129266,2.353739814,0.013988095,O=C1C[C@@H](c2ccccc2F)C2=C(C[C@@H](c3ccc(F)cc3)CC2=O)N1,0.98245704,1
662,ZINC000020920214,-4.297663481,-1.682141066,2.615522415,0.221130952,O=c1[nH]c(CSc2ncnc3scc(-c4ccccc4)c23)nc2ccsc12,0.8378966,1
663,ZINC000584890931,-4.296447788,-1.485490469,2.810957319,0.052380952,Cc1ncc(CN(C)Cc2c(C)nn(C)c2C)cn1,0.99771374,1
664,ZINC000253500611,-4.296017081,0.170810229,4.46682731,0.04360119,CC1=C(CO)C(=O)O[C@H]([C@@H](C)[C@@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1,0.010777738,0
665,ZINC000005494826,-4.295692063,0.496182455,4.791874518,0.108333333,C1CCC2(C1)O[C@]1(CCCO1)C1(CCCC1)O[C@]21CCCO1,0.9261134,1
666,ZINC000165383283,-4.295604891,-2.436776064,1.858828827,0.05297619,C=CCc1cc(NCCCc2ccccc2)c([N+](=O)[O-])cc1C,0.94685763,1
667,ZINC000062717378,-4.295468217,-1.921044131,2.374424085,0.010714286,Nc1ncc(CNCCc2ccc(F)cc2)cn1,0.96381944,1
668,ZINC000093140127,-4.295001181,-1.87813756,2.41686362,0.042261905,C1=CC[C@@H](CN2CCC(OC3CCOCC3)CC2)CC1,0.9804776,1
669,ZINC000245265019,-4.293962034,-1.308365316,2.985596718,0.088541667,Cc1cc(C(=O)CN2C[C@H](C)O[C@@H](C)C2)c(C)n1[C@H]1CCS(=O)(=O)C1,0.20415695,0
670,ZINC001772591641,-4.292941473,-2.406595713,1.88634576,0.05625,CC1(C)OC(=O)C=C2C1=C[C@@H]1OC(=O)[C@]34CO[C@@]5(C)C(=O)[C@]6(C)C[C@@H]([C@@]2(C)O[C@]63C5=O)[C@@]14C,0.9178601,1
671,ZINC000032074014,-4.292473076,0.262667496,4.555140572,0.095684524,Brc1ccc(Nc2nc(N3CCCCC3)c3nccnc3n2)cc1,0.9148666,1
672,ZINC000409072818,-4.291415529,-1.317296354,2.974119175,0.010416667,CN(C)c1ccc(/C=[N+]2\NC(=O)[C@H](NC(=O)c3ccccc3)[C@@H]2c2ccccc2)cc1,0.122502826,0
673,ZINC001506407834,-4.291415529,-1.317296354,2.974119175,0.020833333,CN(C)C(=O)c1cncc(NCCCCN2CCCCCC2)n1,0.98789996,1
674,ZINC000218389679,-4.291171456,-1.308365316,2.98280614,0.020833333,C=CCN(c1ccc(C(=O)NCCCc2cccc(OC)c2)cc1)S(C)(=O)=O,0.88796663,1
675,ZINC000055309699,-4.290610248,-1.262600292,3.028009956,0.019196429,Cc1cccc2[nH]c(-c3cnc(-c4ccco4)nc3)nc12,0.16165414,0
676,ZINC000022401161,-4.29049223,-2.137564241,2.152927989,0.038988095,CCCOc1ccc(N(CC(=O)NCCCc2ccccc2OC)S(C)(=O)=O)cc1,0.7939028,1
677,ZINC000224480160,-4.289989561,-2.475703236,1.814286324,0.021130952,CCOC(=O)c1ccc(NC(=O)[C@@H](CC)Oc2ccc(N(C)S(C)(=O)=O)cc2)c(C)c1,0.84817654,1
678,ZINC000012392628,-4.289298911,-2.687258643,1.602040268,0.042559524,O=C(NCCCCOc1ccc(F)cc1)c1ccc(Cl)cc1[N+](=O)[O-],0.99857396,1
679,ZINC000022388856,-4.289042626,-2.693024575,1.596018051,0.044196429,CCCOc1ccc(N(CC(=O)Nc2cc(C(=O)OC)ccc2C)S(C)(=O)=O)cc1,0.6458217,1
680,ZINC000002289022,-4.288802447,-2.657608375,1.631194072,0.037053571,COc1ccccc1NC[C@@H](O)Cn1c2ccccc2c2ccccc21,0.25165635,0
681,ZINC000102970623,-4.287522832,-2.18829114,2.099231692,0.038988095,CC1(C)[C@H]2CC[C@H]3C[C@@H](CCC#N)CC[C@H]3[C@@]21C#N,0.77834916,1
682,ZINC000096137172,-4.287473902,-2.082679833,2.204794068,0,COC(=O)c1ccc(C)c(NC(=O)NCCC[C@@H]2CCOC2)c1,0.8421117,1
683,ZINC000096061270,-4.287177348,-1.663198283,2.623979066,0.026041667,CN(C)C(=O)N1CCC2(CC[C@H](C(=O)N3CCCC3)O2)CC1,0.9920543,1
684,ZINC000059435790,-4.287173159,-2.747998613,1.539174546,0.030208333,COC(=O)C1=C(C)N(CCc2ccc(OC)cc2)C(=O)/C1=C\c1ccc(C)cc1,0.0016341,0
685,ZINC000118187558,-4.286708272,-2.082679833,2.204028439,0,O=C(Nc1ccccc1C(F)(F)F)[C@H]1CSc2ccccc21,0.96488494,1
686,ZINC000030874199,-4.286706042,-1.300320217,2.986385825,0.054017857,Cc1c(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)cnc2ncnn12,0.88317597,1
687,ZINC000095520085,-4.286676346,-1.538366953,2.748309394,0,OC[C@]12COc3ccccc3[C@H]1CN(CCOCc1ccccc1)C2,0.9951609,1
688,ZINC000000088926,-4.286115303,-1.432901517,2.853213786,0.01235119,CN(/N=C/c1ccccc1)C1=NS(=O)(=O)c2ccccc21,0.38333488,0
689,ZINC000100417093,-4.285903585,-2.525269267,1.760634318,0.01235119,O=C1NC(=O)N(Cc2ccccc2)C(=O)/C1=C\Nc1ccc(F)cc1,0.93992305,1
690,ZINC000002971125,-4.285807585,-2.139128352,2.146679233,0.017559524,Brc1ccc(OCc2cccc3ccccc23)c(/C=N/n2cnnc2)c1,0.5881298,1
