,ST16924,ST17220,ST17263,ST17530,ST17584,ST17626,ST17700,ST17722,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25938,ST25945,ST25947,ST25956,ST25968,ST25998,ST26024,ST26044,ST26070,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26349,ST26374,ST26376,ST26528,ST26673,ST26678,ST26737,ST26745,ST26764,ST26992,ST27049,ST27088,ST27219,ST27223,ST27243,ST27284,ST27341,ST27403,ST27522,ST27526,ST27540,ST27602,ST364,ST377,ST502,ST609,ST61,ST610,ST621,ST642,ST647,ST652,ST689,ST823,ST967
10099,0.19276334,-1.0663359,0.20676896,0.74414194,0.2750986,-0.056113176,-0.9428925,-0.35798842,-0.10282084,-0.15273114,-0.7257,0.06960541,-0.42745495,1.0786144,-1.4003963,0.019364983,1.0141453,0.06735038,-0.5423352,0.894259,-1.1329939,1.368293,1.6630456,-0.8013273,0.09475434,0.33590016,-0.38823402,-0.49129242,1.2149501,0.5167241,0.8492441,1.3327105,0.9424652,3.1950824,0.20701839,1.1683104,0.3117997,0.6944494,0.15246001,0.59507537,0.06257355,1.0070385,1.7375519,0.7962413,1.1707559,1.5933027,-0.05501038,0.86724776,0.8012148,1.3875054,1.1641792,0.32972598,1.060786,0.0051833093,1.7640482,-0.9944881,-0.31405973,-0.85717535,0.083872795,0.464544,-2.1998,-1.6511679,0.48310485,-0.34227332,0.123126164,-0.36151636,-2.752865,-2.1215975,-0.60510284,-0.4754123,-0.19665374,-0.73805,0.021459818,0.21206085,0.061351098,0.775214,0.24412109,-0.5406563,-0.35055995,0.58955,-0.43718353,-0.35863832,-5.061428,-0.007426708,-0.2232103,-0.15953802,-0.30863136,-0.62775,1.5589353,-0.5866118,0.24447614,-0.8857929,-0.5944814,1.2092569,-2.2018294,0.25959754,1.01465,-0.33293217,0.59505,0.25535667
10112,1.0712295,-6.2140512,0.3648333,0.31167802,-0.10189955,0.7906501,-4.742488,-0.76976943,-0.3472483,-3.1636221,-8.228701,0.018383896,0.048481308,-4.878453,-1.194421,-8.406933,-0.29866123,-7.023985,-7.7199993,-9.246773,-7.5690546,-2.302014,-0.8184677,2.177176,-2.22259,-0.14484249,-2.099018,-4.3340764,0.4744,-1.3147193,-2.2975945,-1.3625903,-1.9955662,-2.292504,-0.38405058,-3.9292927,-0.41535643,-0.985041,-0.43028232,-2.799535,-1.6929693,-0.39825702,-1.9218801,-2.4112651,-0.79681885,-4.4058514,-7.0135164,-6.0243483,-4.1923666,-1.623812,-2.9879074,-1.1084265,-6.1737995,0.3575644,-2.0997076,-1.2442098,-0.8870511,0.2609481,0.20580886,-1.452988,0.46185,1.2430534,1.0230184,-0.04767704,-3.2776904,0.2752297,-7.6611776,-7.2126455,-0.4361243,-1.5608257,-0.33381215,-4.76355,-4.2143974,-5.027557,0.32762828,0.26862195,0.66242397,0.03544579,-0.14911406,1.08665,0.3936004,0.28666514,-0.71985626,-0.90769553,-0.59123105,-0.35648292,-0.17242298,1.17565,-5.0353503,-1.0096316,-1.0366261,-1.0775602,-1.7533965,-5.3477163,-6.9173927,-2.4820223,-3.80315,0.11549854,-0.0025999844,-0.42107978
10123,0.88470495,-0.36672413,0.0043005007,0.2632495,0.046802655,-0.07022807,-0.54188544,0.6355724,0.7186303,2.5765605,7.33985,-0.4815203,0.67377853,2.0089898,3.0064714,1.3851283,-0.34118086,7.3675976,6.955418,1.1284542,3.7353249,0.54545915,1.456461,-0.10838589,1.1937279,-0.4505743,0.7549443,0.5134065,-0.070250005,-0.26413584,0.13813442,-1.1854643,-0.074082464,0.32154757,-0.16328523,0.7255933,-1.015228,0.5436367,1.6521219,2.259982,-0.07372172,-0.07792243,0.113387376,0.7577423,0.31860983,0.89318705,1.141721,1.2459751,2.2086978,2.2297254,1.5775595,-0.31738663,1.3188143,0.3290176,1.7259003,1.2156477,-0.38421,-0.4341527,-1.4275005,0.45662156,0.46754998,-0.019856662,-0.1674155,0.18006702,2.7221296,-1.0745285,2.9951572,4.883195,-0.28414452,-0.13827166,1.0133198,8.27335,3.992583,4.678806,-0.13148162,-0.71849865,0.010520048,0.4066482,0.6163999,-0.2738,-0.29895356,-0.79725564,2.1675458,0.27639914,0.21697034,0.08476965,0.43682343,-0.21474999,1.2633574,0.17844509,0.034774184,-0.6173428,0.6218553,2.5479393,0.3664242,-0.25741136,6.3092,-0.63723576,0.77355003,0.15964228
10131,-0.65307784,0.52043545,-0.6434382,-0.14784396,-0.2767747,0.4741212,-1.3777604,-0.08669491,0.17653534,-0.45248985,4.7560997,-0.15067083,-0.79998666,-1.0375683,0.3259459,-0.09552449,-0.08230359,4.553077,2.9043925,0.51333606,3.31478,0.9276491,-0.8054516,-0.9166003,0.09628464,0.44003516,-0.83379793,-0.42832297,-0.1269,0.71479213,-2.458501,-0.27017385,-1.5706596,0.52521855,-0.26637417,-0.3995134,0.30453712,0.78198075,-1.0406523,-2.9137278,-0.75643057,-0.64414763,-1.4226081,-1.7223312,0.2619241,1.977422,0.44034964,-0.16742069,0.92521775,0.5371794,1.3638012,0.45440164,0.7280836,0.08406544,0.11676984,-0.9187376,0.14730349,-0.27239904,1.0145643,-0.25405204,-1.8733,-0.91541564,0.5758396,-0.44555065,0.66702807,0.9385509,-1.3058107,-2.3569818,-1.1097392,0.16643491,-0.6416873,1.98235,2.2934337,3.4447236,0.21189126,0.5984874,-0.33379078,0.17021462,-0.52034223,0.90135,-0.75084776,-0.18802054,-2.4789383,-0.5825155,-1.1839541,-0.61579764,-0.30918956,0.21024999,-0.9590473,0.8789628,1.2563202,-0.6534636,-0.4124949,0.61511433,-1.9305536,-0.39082825,2.6039,-0.4166958,0.82344997,0.53057206
10146,-2.4726145,-1.380027,0.41459328,-1.2334244,-0.1628679,1.080307,-1.8724893,-0.9368392,-3.9019654,-2.309532,-10.0,-3.200541,0.29783535,-4.011999,-5.3933477,-6.956929,-0.062384978,-6.3563447,-8.094792,-1.7584467,-8.493518,-0.84790874,-4.3791304,-0.5741605,-4.9668927,0.24779181,-0.5192326,-2.361013,0.34345,0.20279467,-2.5548496,-0.8498428,-2.5723562,0.17450197,0.485417,-1.5544474,0.045342013,-0.15669288,-1.0310559,-2.4015722,-0.8988736,-0.3403471,-1.1225922,-1.3745543,0.5143252,0.562725,-5.4277797,-2.325342,-2.3259106,-3.9216952,-2.3222358,0.24319643,-0.6505054,-0.34299514,-2.866442,-0.18116653,-0.8331711,0.3418477,0.15121926,-1.1282225,-6.9183,-4.820093,-1.9819095,-0.043724462,1.146902,0.6147448,-2.3608775,-3.1096377,0.055963248,-0.42537186,-0.30072927,-7.81785,-7.9889393,-6.6506305,0.6138225,0.35831597,0.5310594,-0.4763757,-0.2898023,0.5065,0.13625003,-0.005505234,-4.581528,-1.0866225,-0.6117833,0.3623316,0.5167041,-0.052950002,-1.7429445,-0.32620052,-0.38036436,0.03531985,0.25444102,-2.6099734,-1.357115,-1.4536872,-7.0865,0.15062186,-1.55235,-0.3747004
10150,0.21653184,0.34934354,-0.10064036,0.240598,0.11514273,0.5492036,1.1279569,-0.6948607,0.19067575,0.37284863,-2.4809,1.1598129,0.49228904,0.29381776,1.0710424,1.5408884,0.1803338,-3.242369,-2.9245415,0.9949348,-2.4726908,-0.5745773,-0.06968108,0.35228226,-0.18377061,0.5718823,0.17511854,1.936244,-0.46295,0.0763267,1.1365013,0.007331893,1.8894584,0.66040176,0.2992786,1.4063824,-0.21608214,0.85207766,-0.45622486,0.15902519,0.03918928,-0.16706812,1.0207312,0.16836022,0.7442814,-0.2955171,-0.5673797,-0.39537406,0.8596447,1.3426325,-0.6568312,-0.6643522,-0.13647407,0.25488108,-0.12935743,0.06848967,-0.09260833,-0.2933045,-0.16025507,0.8069221,0.8559,-0.9687138,-0.38832206,0.17462732,-0.33704048,0.25769135,1.7179356,1.7678523,-0.7291676,0.86711395,0.56761837,-2.29085,-3.2534847,-2.3759956,-0.6494491,0.8071899,0.3074736,-0.2826097,-0.3214625,0.0168,0.4599809,0.9487411,2.3507886,0.4339258,0.5207357,-0.18993515,0.027212024,0.36850002,-0.3137114,-0.22674447,-0.54263794,0.5480261,0.8041596,0.20459515,2.3063586,1.0249028,-2.7317,-0.13494217,-0.115449995,0.121866375
10153,-0.21117656,-0.07447794,2.308867,-0.17999926,1.1329334,0.15346578,-0.29714125,-0.61687785,-0.3463363,-0.012805223,-3.0722501,-1.3148813,0.5655595,-0.9139749,-1.7553766,-3.4020185,-0.025536,-5.781597,-0.01579699,0.6786953,-2.5938764,0.6752346,-1.9680946,-0.75525194,-2.152032,-0.28207466,0.73142207,-1.1885362,-1.1700001,-1.038125,-1.8375013,-1.4289534,-1.0016344,-1.9159418,-0.052718133,-2.6661603,0.7302967,0.38225025,0.46830726,-2.8675358,-0.3039537,-1.6476886,0.14143652,-0.64512223,0.94810045,-1.1297314,-1.7980705,-1.4287468,-0.92058635,-0.27742958,0.90812314,-0.10153404,-0.6146467,0.16693226,-1.9000566,1.6478435,-0.3878861,0.49590194,0.14154929,-1.8527071,2.385,0.2840869,0.35660705,-0.6178833,1.6987928,-0.13306743,0.68111825,1.1140978,0.79721427,-0.5688494,-0.35751846,-4.09655,0.2555816,-3.2505877,0.180064,-0.5340154,0.9915285,0.08153099,0.71226037,-0.8718,-0.19885273,-0.8075262,1.027682,-1.070237,1.6389604,-0.18440664,-0.43512094,1.21575,-0.3273866,-1.0040644,-0.059015542,0.094169945,1.2445176,-0.7937087,1.2697827,-0.2867879,-4.1512003,0.039138705,-0.27905002,-0.85909486
10165,-0.6609061,-1.0720382,0.77594304,-0.6201116,0.22418135,1.0948005,-1.9688883,0.37961906,0.7571703,-0.10440254,-3.7969,-0.55377966,0.09144219,-0.59501255,-1.6210272,-1.5190494,-0.5792258,-2.6020963,-3.636548,0.5225764,-3.3810058,-0.015052646,-0.1335417,0.113860115,-0.23450993,-0.86284065,0.61859304,-0.7256175,0.4221,0.44434267,0.2559975,-0.041333616,0.11386131,-2.4317746,-0.30223137,-0.52790827,0.19794543,0.07419908,0.08872968,-0.043855824,0.33935106,0.7024003,0.68537414,0.027191937,-0.22797646,-1.1989766,-4.302372,-3.4019132,-0.618743,-1.0395101,0.039273545,-0.86223185,-0.16668224,-0.68928707,-1.3577273,0.16532746,-0.40424585,0.41869187,-0.578012,0.12373017,-0.8684,0.13478555,0.10348508,-0.2418077,0.025590658,0.22923212,-3.0893445,-2.5018642,0.2626269,0.22424836,0.086177394,-1.4811001,-5.4418793,-2.560672,0.6934098,-0.82478166,0.67532057,0.52723235,0.108163685,0.73010004,0.099073276,-0.35228753,2.2257595,0.7482054,0.7518364,0.62337255,0.6771651,0.16125,-0.10764982,-0.71874034,-0.07362957,0.0921175,0.15586609,-1.1119276,-0.8848767,-0.27523345,-3.6573,-0.052080438,-1.7604499,0.16111335
1017,-1.6237895,0.83597505,0.09168875,-1.2469761,0.006634429,-0.074680924,2.5636702,0.69728774,-1.3210653,-2.4179769,-0.95315003,-3.523512,0.29676217,-1.4129195,-1.7230961,-4.3081617,-0.6570093,-1.0778039,-2.4534483,-4.028434,-0.8078826,1.497089,-4.348897,-0.813839,-0.766491,0.7077013,-0.5545868,-2.5539713,1.0089,-0.39111534,-1.7409191,-0.86866367,-1.3779845,-3.135838,-0.30720007,-3.15185,-0.5889099,-1.5172331,-0.7437101,-2.962807,-1.9843401,-0.47547552,0.3106651,-1.7137493,0.17590141,-2.3232794,0.6117347,-0.16222444,-2.1351879,-0.89454496,0.20020607,0.26522124,1.4799466,0.14848492,-2.258627,-0.14165783,-1.2309104,-0.4127909,-0.22889599,-0.61706084,2.6177502,2.4308867,-1.3846242,0.2525285,-0.35946873,-0.12991896,-2.2722604,-2.5911233,-0.9206267,0.6442378,0.48071763,-0.55915,1.837336,0.7194441,0.20327821,0.026970476,-0.1007177,-0.70559675,-0.14190973,-0.092049986,0.657614,-0.26462108,-3.811812,-0.3254287,-0.34934378,-0.1524691,-0.25288874,0.48154998,0.97137046,-0.46881223,-0.369908,-0.3001078,-0.6551682,-2.8490689,-1.6466775,0.92901075,-0.35050002,-0.31104457,-0.6797,-0.38747993
10174,1.9277562,-0.0035528466,0.5492839,0.7296717,-0.26323178,0.74878204,0.7168556,-1.0948747,-0.39196986,-0.3054666,-3.5182,1.4582618,0.34510154,-2.032903,-2.1225371,-0.8134848,0.6953827,-2.8510137,-3.3449838,-1.4058092,-3.0971773,1.0313165,1.0451237,0.2342584,-2.3808036,-0.42113677,0.41600287,-1.7816597,-0.40825,-2.822433,0.8623347,0.74758685,1.5556815,-8.92971,0.66783935,-0.3530222,-0.21129143,0.71673894,-1.541071,-0.86790335,1.6189077,0.498523,0.38348806,0.3416681,-1.7514653,-6.55087,-10.0,-8.800997,2.566295,1.1574814,-0.4130331,-0.15096289,-1.608093,0.5075028,0.6555702,-0.065581106,1.0738842,-1.9063103,0.9545193,-1.2312782,-4.1901,-0.33661258,0.4007824,-0.4414439,-1.0470266,0.3062551,-3.2359285,-3.345448,0.43886384,-0.4971841,0.12866455,-1.65535,0.5771777,0.33740118,0.400053,0.6498982,0.2639593,0.5951673,-0.20780145,0.41845,-0.54452455,0.80248904,-6.8150787,-1.0489963,-0.26998323,-0.69443786,-0.11590105,0.123050004,-1.3407478,-0.47820085,-1.5795519,-0.36196697,0.5444886,0.8507838,-3.2476735,-0.03909552,0.2794,0.07080698,1.206,2.187468
