,ST16924,ST17220,ST17263,ST17530,ST17584,ST17700,ST17722,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25613,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25945,ST25947,ST25956,ST25968,ST25998,ST26024,ST26044,ST26070,ST26090,ST26111,ST26112,ST26210,ST26267,ST26349,ST26374,ST26376,ST26526,ST26528,ST26628,ST26673,ST26678,ST26737,ST26745,ST26764,ST26992,ST27058,ST27219,ST27223,ST27284,ST27341,ST27403,ST27522,ST27526,ST27540,ST27602,ST28016,ST364,ST377,ST403,ST502,ST609,ST61,ST610,ST621,ST642,ST647,ST652,ST823,ST967
10007,0.019453049,0.39763874,-0.037444964,0.48445755,1.3768034,1.1647339,-0.020893872,-2.0314074,0.011844739,-1.9888977,2.2423825,4.026597,5.462444,3.1304488,6.549468,6.438198,1.2740685,-0.008964777,2.049003,3.739863,-0.51503885,0.46580756,1.9199642,0.9209101,0.14292699,1.9025668,0.9078599,1.5197383,0.22140083,-0.42093408,-0.93953764,-0.2926316,2.4250162,-1.2132566,1.6707461,0.4075945,0.14297603,0.17043516,10.0,-0.20063052,2.5285256,3.7516527,4.680647,-1.1030647,0.94922084,0.84166855,-0.051156253,-1.8828315,4.9972177,-0.22131857,-1.0585967,3.4811077,-1.0910481,3.4921288,-0.27320838,-1.4881021,1.8316586,-1.3537532,-0.9522479,-0.51983595,1.4815466,1.141956,1.4402133,-0.8086258,2.0808237,0.40878618,1.4147342,2.81945,-0.1655828,-0.61990684,1.2771623,-1.2291743,0.031242132,-0.55579996,5.1728544,-2.7874067,-0.46832478,0.2390899,-0.979016,-0.45992953,0.525519,0.3866039,8.36639,1.4705062,2.0899854,2.5158193,-1.178132,-0.8086982,-0.43197978,0.43737835,0.67387515,-0.8271599,0.63889295,0.2486997,0.8803303,4.6043377,1.8102996,0.9247087,-2.0708766,-0.7035404,0.6932322
1001,-0.31460056,-0.5431542,0.15153018,0.30285156,-0.39585835,-0.5274975,0.11705208,-0.9257095,-0.18344022,1.6948832,-0.9209907,-0.3805363,-0.47704807,0.5876682,-0.4754727,1.2323945,-0.68144697,2.7612724,0.77520835,0.51623946,1.2400086,-0.055571258,0.04117898,-0.7422083,-0.76219463,-0.5622099,-0.51060826,-0.8779138,-0.49101204,1.474186,0.9457286,1.4176012,0.50858736,-0.22240952,0.72851205,0.13994709,0.13747597,-0.4990998,-1.1540666,-0.66662824,-0.29817492,-1.3479385,-1.1246525,0.32571486,0.18748522,1.3705839,-1.1281891,-0.4773985,-0.6477416,0.41084048,0.29512322,0.16770338,0.45723888,-0.13989383,0.36624604,-0.66835856,1.0058556,0.37268567,-0.4770407,-0.39475894,-1.1575422,-0.7623479,-0.42554602,0.40092647,3.189942,-0.17957184,-1.0036345,-0.68409604,-0.15941699,-0.7991548,0.19720629,-1.0966709,-1.0609934,2.16875,-0.3853682,2.3895588,-0.7226542,0.08579519,0.42767337,0.68010795,-0.58390146,-0.102666155,-1.1702106,-0.8911424,-1.2893262,-0.6920693,0.023696385,-0.0736815,-0.38867253,-0.46359783,-0.55002844,-0.26265717,-0.1037907,-0.71168786,-1.2655569,-0.9377295,-0.55482376,-0.37996456,1.2192553,-0.09561135,-0.70570916
10013,1.9978864,-0.60652375,-0.55400634,0.44948947,-0.22580121,-0.37691787,-1.060058,0.531603,-0.88814497,3.4133239,0.74918413,-1.9453838,0.35611162,1.8833044,3.7654524,1.6610837,1.3135806,4.7182293,0.7947003,0.8668308,1.3959966,-1.3846314,3.2069461,1.1607214,1.3501556,-0.17401417,1.4581777,0.820982,-0.57756317,3.184265,2.1606052,4.926513,2.73385,2.822749,5.0582466,0.35770574,0.6263354,1.2942772,4.0196924,1.7569175,1.0295794,2.5815227,0.6114499,-0.22632378,-0.8891596,0.567609,4.323033,2.3324623,4.530797,5.9054093,0.3021037,-2.1242619,0.5760882,-1.4461411,-0.07398476,3.239997,-1.80318,0.31648943,0.08304304,0.28632298,2.3514702,-1.1389177,-1.2391067,0.33236897,0.84081495,-0.58599365,1.4274102,3.180196,-0.382921,-0.5204865,-0.46931332,-1.2990985,0.028365746,1.615,1.5652518,0.58212817,0.0103595,-0.91047835,3.30049,0.15468203,0.41933048,-0.7385102,0.45580316,0.11918885,0.87747663,-0.36234087,0.78460366,-0.59659827,-0.09938747,2.9583817,0.85057604,-1.4239129,-0.43033436,-0.6878157,-0.33576196,3.073255,-1.2692991,-0.8739603,1.495334,0.092411,1.4606969
10038,0.08855189,1.1448476,1.0947816,-3.0328221,0.42031682,1.996031,-0.14561415,0.4991806,-1.5026006,-8.676228,-2.9311643,0.2947008,-3.7093163,-3.2083912,-5.6656723,0.34936452,-0.79380816,-9.319101,-4.773909,-5.294433,-10.0,-0.25205112,-3.305826,-0.35496354,-1.1581624,-0.5489771,-0.47759467,-0.23745598,0.15020585,-1.6839643,-1.4819059,-2.0273836,-6.0727253,-0.73389995,-2.6650598,0.7969854,-0.41434354,-0.20293052,0.68841094,-0.44323495,-0.32512408,-0.45718557,-1.5995445,-1.2423928,-0.2644188,-6.9616966,-3.0086124,-4.768941,-5.3768306,-2.768462,-0.69829696,-2.1490622,-0.32098368,-0.9894715,0.47298133,-3.3846374,-0.7020384,-0.15251029,-0.24010776,-3.143884,-1.2514434,-0.89855564,-1.3758218,-0.4063046,-3.9489727,0.42288822,-2.3882172,-2.4272902,0.25422582,-0.65572566,-0.110857375,-0.006159775,0.84854496,-9.34085,0.8383319,-8.694506,0.35891345,0.6090028,0.40730333,-0.24758926,-0.29018804,0.05698862,-0.5661979,-1.5500968,0.17990905,-0.6576716,-0.18367161,0.7468418,0.69271183,3.2401085,-0.22646159,-0.40706164,-0.4172216,0.8882871,-0.035919487,-5.758721,-2.733694,1.0892577,-9.999999,-0.6897608,-0.23406388
10046,0.4313939,-0.5124787,0.75254226,0.09133345,0.6666197,-1.4259197,0.14435248,0.3102106,2.4835749,6.3000736,-1.316515,-2.0400033,-0.45449084,0.33418185,-0.4470349,1.5936606,-0.3610767,8.125845,2.4959824,-0.5254457,4.104372,0.19153178,-1.5139568,0.058706373,1.5952554,0.12142696,0.49442205,-0.3241712,-1.3282406,-2.1489875,-1.5987797,-1.8335462,0.13001242,-0.20696086,-0.8736918,0.6620201,0.43844998,-0.21179983,-0.7415831,0.28911766,-0.4521625,-0.9325518,0.24897608,3.963544,0.8535285,1.7243245,1.2326118,0.63280004,-2.4610574,0.48724365,-0.49391174,-0.20749234,-1.0731187,1.3829365,-0.36614037,-1.4140201,1.1589282,0.08376795,-0.8337073,-0.89101386,-0.18031079,0.31824085,0.56748915,0.37808236,3.1248136,0.16634773,0.44236708,-0.09355673,0.9338108,0.10345361,-1.2258201,-0.9049377,0.53955823,6.3371,-0.86158496,6.1080523,-0.02942124,-1.504662,-0.8675027,0.30311927,0.068791285,0.24160399,1.9688529,-0.012882233,0.42685318,-0.592208,-0.47700813,-0.6911677,0.03487216,0.47708875,-0.5424095,-0.34097636,-0.89316297,-1.3124112,0.28514582,-2.6021953,-0.48683888,-0.7857653,7.190733,1.1838306,-0.72012556
10049,1.1573514,-1.3258798,-0.44286835,3.178377,-1.2882276,-0.009340763,-0.021676272,2.6303387,2.0216956,2.7011838,2.924633,-0.15201831,-2.6355846,-2.5416064,1.0292389,0.40365738,-0.31460175,0.54692864,-3.0803425,0.8788696,0.1526469,0.9086782,2.9613094,0.147116,0.29174912,-0.6798958,-0.6695813,-0.40122476,-0.041730575,-0.32052863,0.23713222,-0.75440127,3.8884258,-0.86854506,-2.2651517,-0.8603916,-0.8955176,-0.31728566,-0.093729794,0.037926346,-0.097610965,-0.15563977,0.19417316,1.8198714,0.04086867,0.77786773,0.8852314,0.8515316,0.28602722,-0.69291365,0.31765798,2.03265,-0.84273887,0.8181831,0.21619952,0.2983191,-0.6189897,-1.4997087,-0.76749927,-0.36715275,0.6580864,-1.9033949,-2.6197605,1.8679137,1.2128631,-0.09340981,2.3580394,3.041849,-0.0598332,-0.06318846,0.40003282,0.9416019,0.392897,0.89525,-2.9204838,-1.3824973,0.06394018,-0.86259866,0.14669085,0.14412494,-0.1264922,0.025331512,-2.8462481,-1.330971,-0.6288674,0.013398513,1.0456452,-0.025709659,-0.3834107,-6.0349503,-0.15010458,0.58690643,0.026106015,-0.1381186,0.24951793,1.376276,4.091986,-1.6012495,3.6269746,1.2804904,-0.2953343
10051,0.4121261,-0.9906279,0.36812395,-1.909477,0.14316937,-3.164994,0.17436181,-0.83567256,-1.0620142,-8.706327,-1.5324967,-2.0186975,-3.750608,-3.1969209,-5.0888834,-5.5729284,-0.55063224,-7.8932247,-9.418156,-7.173431,-8.288826,-1.756531,-1.9374007,-1.3727543,-2.818585,-0.24732739,-2.3716242,-0.223275,-1.1036311,-2.079073,-1.2870818,-2.8964987,0.5593035,0.1283482,-5.0541058,-1.1042463,-0.7146145,0.39359778,-3.0146298,-0.52436733,-0.60172653,-1.1978915,-1.0279632,-5.7905283,-1.0657244,-4.1957407,-3.9973822,-5.429801,-3.2659855,-3.5559018,-0.95207983,-3.8802743,-0.7282739,-2.4819398,0.6622559,-2.3852367,-0.41900367,-0.07522023,0.18728608,-0.6379161,-0.7349652,-0.1992358,0.07576367,-0.88065094,-8.512245,0.059433594,-4.069703,-3.9758224,0.4779196,0.027879983,0.00040275604,-0.6248461,0.07040413,-8.189,-7.1792316,-4.3259997,0.55006516,-0.1410042,0.13035095,0.01489307,0.05315551,0.63604647,3.5283875,-0.13450818,-0.1501048,-0.6250266,-0.59348476,0.056487516,0.58651906,-2.7204688,-1.8965789,0.07623346,-0.9025545,0.29673123,-0.30674866,-3.3996916,-3.777428,-1.1657093,-6.558978,-0.13790525,-0.30672348
10057,0.7072125,1.10736,-0.53240615,4.58382,-0.54778063,0.06849694,1.2604012,0.8915354,-0.48511222,3.2377913,3.8851938,0.6204502,-0.285491,1.8812153,-0.29518497,1.3779,1.4916921,5.013269,-1.8282108,-0.66306156,1.6942667,0.058755778,5.4113207,0.93259907,1.6039574,4.796867,0.39648962,-0.3763028,0.5297713,1.5455776,0.057073142,0.8753855,5.317935,0.2528441,1.2287184,0.4650351,0.054703977,-0.18563525,2.6324775,-1.0315366,0.19592732,-0.085321695,0.01470764,0.6103807,2.78806,2.2684,4.4225907,-0.57502496,-0.30108458,-1.0414962,-0.56340194,-1.1783057,-0.50704503,1.3374571,-0.6688529,0.05245889,0.68721735,0.3120612,-1.0407176,-0.11445149,0.26531744,-1.1167954,-0.9254078,0.79009837,1.2180089,0.13339496,3.5785956,3.2780738,0.8569659,-0.17818578,-0.0706883,0.515,-0.5270528,4.6696997,1.4254795,0.15143418,0.06773545,-0.5821341,-1.7042167,0.31374973,-0.22405106,-1.3225341,-4.238015,0.96531403,0.36064553,-0.8107078,-0.12410935,0.28071487,-0.2945427,1.2362186,-0.010034606,-0.019878507,-0.6582178,0.5357571,-0.16674307,0.2304123,5.1493983,0.23683864,2.6716747,0.4672249,-0.011747062
10058,-1.1882738,0.028585196,0.7911301,0.20245722,0.7815399,0.65601695,-0.43479565,-0.9690132,0.10536472,-0.09549683,1.1926775,-0.9455732,0.4645152,-0.3672946,0.8101435,1.2871795,0.9187819,-0.46184438,-3.128997,1.3037167,-0.8687142,-0.10042921,0.10831669,0.5714756,0.6447238,-1.5331715,0.631035,-0.8189393,1.1355497,1.9580399,1.3101523,2.3233593,0.38549933,-0.5260681,1.1104164,0.093432665,0.016760305,0.5741171,0.45319656,0.113260925,-0.115536496,-0.19185658,0.16839638,-2.6706185,-0.6918288,0.10071191,1.1860799,-0.46754867,-2.2817585,-1.420009,0.26017797,-1.5466211,0.10839707,-0.15081836,-0.75428045,-0.52881175,-1.139794,0.19223067,-0.118984714,-0.455487,-0.10581033,-2.0539265,-1.3884189,-1.2769568,-3.113051,-0.063099384,-1.9275501,-2.001801,0.48235714,0.006185025,-0.3039224,0.028701738,0.25557768,-1.0102,-1.1146822,-2.512782,-0.2791374,0.05160793,-0.082651876,0.25831446,0.41820484,0.08798428,-3.8969398,0.5354817,-0.8907652,0.055018023,-0.1795491,0.4493138,0.26367617,0.9310471,-1.8787854,-0.4347089,0.5341646,1.1316035,-0.91037464,-3.110325,0.7855197,0.86199903,-1.1326121,-1.1623319,-0.8336222
10059,-0.3668902,0.2632405,-0.054331847,-0.6210562,-0.316643,0.9395461,0.31712845,-0.00473246,1.2722676,-4.0715294,-0.51402503,-1.0394282,-2.2614868,-3.7443871,-4.177571,-3.6453085,-0.5904445,-3.9540367,-5.3004556,0.4156933,-4.640918,-0.36934948,-0.20799485,-0.75450814,-2.5037227,-0.959324,-1.2938498,-0.5998818,-0.33395508,0.6415225,-0.2699201,0.62264824,1.4053705,-0.9628402,-1.0554246,0.5449416,-1.2437866,-0.43370947,-0.9498708,-1.3105109,-2.2110405,-0.93682575,-2.3041112,-1.391845,-0.62736785,2.8486834,-0.24152838,0.9201274,-1.6039922,-1.563433,-0.2584744,-2.0910342,-0.7273316,-0.71753734,-0.29826128,-2.3698483,-1.5455997,0.12047018,0.2594009,-0.6656675,-2.065726,-1.293406,-0.778545,-0.44898418,-1.2018471,0.08725008,1.7789762,1.7356083,0.08329164,-0.4251538,-0.6966432,0.0770106,0.94701093,-2.92975,-5.6212044,-2.3236465,0.54683256,-0.3945162,-0.31132942,0.8524879,0.0731495,0.16718051,0.23387416,-0.4083272,0.737014,-0.18422389,0.36993393,0.0875147,-0.29788142,-1.1883286,0.6644751,-0.36193156,0.21051268,-0.22496264,0.7091139,-1.123518,2.2602465,-0.14738649,-4.7650824,-0.19791757,-1.6911228
