,ST16924,ST17220,ST17263,ST17530,ST17584,ST17589,ST17626,ST17700,ST17722,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25945,ST25947,ST25956,ST25968,ST25998,ST26024,ST26044,ST26070,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26349,ST26374,ST26376,ST26528,ST26628,ST26673,ST26678,ST26737,ST26745,ST26764,ST27058,ST27219,ST27223,ST27243,ST27284,ST27399,ST27403,ST27522,ST27526,ST27540,ST27602,ST364,ST377,ST403,ST502,ST609,ST61,ST610,ST621,ST642,ST647,ST652,ST689,ST823,ST967
10007,-3.588437,-0.020879278,-0.0006908551,0.6000297,0.44608384,-0.054760292,-0.4795314,-0.6409939,0.44342184,-4.685828,-1.76315,-4.4447794,0.87505877,-0.32466602,2.885374,1.2905344,3.7921028,1.3223,-2.2800999,-1.4346771,3.425181,-2.1228232,1.1653149,1.401526,0.35320514,-0.51742095,1.0481182,1.8816379,1.1694062,1.7842984,-0.13368657,-1.307,-2.0829558,-1.2081848,-2.2347217,-3.0085948,0.8243419,0.89393795,-0.26065,-0.2936224,8.083893,-0.8962428,2.0359178,3.9475834,3.651655,-9.60264,0.81446624,-1.4919761,-3.0508275,-4.5606933,2.6851969,-1.5072141,-0.50888526,1.9417518,-0.58539456,4.302174,0.39886522,-2.115883,0.21853888,-1.4116895,-1.1278037,-0.47819608,0.63767815,-0.60324997,-1.1571934,-4.489557,0.62802476,0.5180055,0.38662,-1.744324,-2.2143204,0.7592617,2.1331153,-0.21061765,0.57398295,-4.088941,1.9337788,-6.7398214,0.12558274,0.46254677,-0.024644792,-0.7768203,1.3425286,5.1385,5.751196,3.4033053,2.033358,2.5438237,-0.35597005,0.3248282,-1.15795,-0.023032874,-0.25211853,0.11481053,-0.5267079,-0.26020294,2.4131923,-1.8877146,0.7026936,-4.7809744,1.1651579,-3.1531415,0.54674745
1001,0.34648854,1.1112131,0.42267597,0.5560317,-0.27075183,-0.20014848,0.10424814,-0.20869108,0.3488441,-0.05173935,0.3972,2.8290305,0.30506063,-0.6716443,-0.40605327,0.76453495,-0.9779283,0.0986,2.4185,1.6697546,0.37902492,2.2757564,0.90168256,0.398861,-0.5970547,0.17471102,-0.19322848,0.32463577,-0.03042595,-0.08024031,0.21962364,1.79065,1.7834625,1.5161363,-0.7571797,0.2639521,1.2543026,-0.32975313,0.3024,0.18641184,-1.1615813,0.12568471,-0.46847,-0.11260748,-0.67979556,1.2028315,0.1629042,-0.95529807,-1.1938152,-1.2435479,1.9946185,1.0100641,0.9609654,1.2291666,-0.42445078,-1.5038791,-0.17365052,0.2667859,-0.3456412,0.7608225,0.45726633,0.5511209,-0.8229416,0.69025,0.47802728,0.83172804,-0.24394232,-0.37051627,0.3421846,-0.14014478,0.1511936,-0.47734758,0.20722604,-0.48075464,-0.43492496,5.2508926,0.12039971,1.9090633,-0.26590374,1.000091,0.35553694,0.06686929,0.32364514,-1.5047,-1.3467079,-0.6532501,-0.2170712,0.16844313,0.4675936,1.062397,-0.55660003,0.15351759,0.4734852,0.2591967,-1.6716508,-0.7325388,1.1996427,-0.53609776,0.07199572,3.2087865,0.17009786,0.30782366,0.60334826
10013,-0.11958731,-0.4299214,-0.28770912,3.2214882,0.617427,0.19620663,-0.113695905,-1.1528627,-1.6495259,-0.23789537,-0.33375,2.585545,4.170503,-0.6680088,4.0339055,5.212309,5.8183403,-0.0338,5.18365,2.4090188,1.7027352,4.005813,-0.60528404,5.3539357,2.7296052,2.226382,-0.15258852,0.46259975,1.8313472,1.0523205,0.08915044,5.11765,2.7518802,4.9508853,6.5347967,2.8642159,6.2169046,0.24267244,-0.13545,0.6968136,5.632952,1.0003067,1.6556314,2.4010081,4.343155,1.384041,-0.22837506,1.9218566,2.7810736,5.056723,5.0443473,5.7401547,6.1532927,-1.9923928,-0.102611706,-2.5918753,0.3685103,3.9250803,0.681591,1.9388232,0.15553266,-0.027669877,3.6134496,-1.93465,-2.7345521,-0.2231967,-0.3388567,0.46881992,-0.8923261,2.2990437,2.151445,1.2688121,-0.12529717,-1.3838236,0.61519563,4.4455824,1.3772329,1.7081658,-0.47786176,0.11824235,-0.30393326,-0.1357165,0.42385218,0.5539,0.0048309416,-0.061628476,1.1407996,0.64517814,1.2785405,-0.9171528,2.23335,-0.1416727,-0.50864255,0.25854817,-0.5951956,-0.13330355,5.99891,0.84411687,-1.2910979,4.0187473,-0.027224123,-0.38487172,2.4533963
10038,0.1663805,0.41207215,0.2309565,-1.1102915,-0.41582227,0.14585033,0.9386097,3.0663254,0.48018897,0.9369105,-2.45275,-10.0,-2.2997174,-0.21141674,-2.4325438,-4.2758193,-4.9580708,-0.2064,-10.0,-10.0,-5.0404673,-9.999999,-0.9848453,-2.2108116,-0.99624836,-0.5898452,-0.42717442,-0.5113936,0.6510859,-0.13997121,-1.1712111,-2.6845999,-1.4397302,-2.5007923,-6.9831696,-1.6332061,-2.9265413,0.4718577,-0.0716,-1.0380499,2.2640605,-0.42839646,-0.17478427,-0.86148006,-0.044774055,-3.6568995,-0.74110985,-7.1365213,-5.0805473,-5.353531,-4.6616964,-2.9709992,-3.450303,-3.3257828,-0.9836235,-0.9306406,0.18195839,-3.1759236,-1.4406364,-0.84334874,-0.26675013,-0.4296176,-2.4870405,0.51765,1.3395188,-0.23213193,0.037420437,-0.38804185,0.79969776,-3.2787943,-3.6257727,-0.88481164,-1.3570286,0.6545276,0.39937773,-8.01339,-1.5566951,-6.5125837,0.46075922,-0.16026936,-0.68115467,0.6607803,0.261772,-1.02045,2.9712949,-2.0204108,-0.42011252,-1.2368262,0.3017535,0.071708545,5.0758,0.63018405,-0.23039304,-1.2622871,0.20387012,1.1760179,-4.925646,-2.10172,0.7887807,-7.8041506,0.37072927,-0.49645358,-0.14275777
10046,0.93754315,0.47537786,0.019560993,0.27882314,-0.06719899,0.07501398,-0.6280088,-0.75208926,1.2416431,0.4592501,0.23009999,8.225691,0.28800568,3.2063704,3.561237,0.9330163,0.38270113,0.06335002,6.6814,6.478237,0.8585268,5.425396,-0.06871204,-0.26504713,0.6432166,-0.40756708,-0.49554363,0.45228833,1.2157166,0.4693814,-0.7558272,0.50725,-0.12658866,0.28410283,1.1022544,-0.055900827,0.04184103,0.2157425,0.0404,-0.3648048,1.6080612,0.021737993,0.29230297,0.7789415,0.57473993,7.075387,0.07909669,4.222574,1.4529866,1.8129807,0.015774332,-0.13303053,-0.6167725,0.46123266,0.13184461,0.6516553,-0.03859826,0.08914207,0.7563176,0.28291363,0.77633274,-0.8043568,0.211553,2.0206,1.0351951,0.22941537,-0.08494468,-0.6447998,-0.29666343,2.9797597,3.5319479,0.525772,0.10748139,-0.034301586,1.1493542,7.1737947,3.074436,5.802344,-0.92315614,0.23135334,0.6127994,-0.5385881,0.08138555,3.61445,1.0514671,-0.2625944,0.1284079,-0.5079397,-0.01529482,-0.532623,0.97599995,-0.40343636,-0.1265096,-0.08671777,1.2253709,-0.29836088,0.43923032,2.2498784,0.3633569,7.0243597,0.1624988,0.60643774,0.46622863
10049,1.8222196,-1.0007167,-1.9206946,4.369047,-0.6483075,0.5736443,-3.4352093,-1.1503372,1.40137,2.469758,2.1988,2.5649643,3.1230798,0.2040407,0.73248065,3.2275362,2.0686855,-1.5455,-0.031150103,0.4187391,0.75327975,2.96206,0.47828072,4.015758,-0.99994,-0.12129763,-0.014877811,-1.5127778,1.5423706,-0.08548476,-0.05085379,-1.0279,-0.7005495,-1.2550105,3.9284828,0.65119517,-1.8121631,-1.1993169,-0.7105,0.009449992,-1.1104648,0.8453485,0.29762432,-1.6735841,-1.1239334,0.83170146,-0.5300028,1.3928992,1.6349607,1.9857835,0.32110047,0.71141696,0.9369066,1.2896175,-0.14574231,0.6266309,-0.5836024,0.6960144,0.18957435,-1.6583741,-0.95857096,0.5989957,1.0500635,-2.5847502,-1.7140027,-2.0383074,-0.0038570985,-0.4191408,-0.22360864,3.2179558,4.4132476,0.27878952,0.1650009,0.91052985,-0.7394671,4.5479345,-0.39657652,1.0883424,-0.40728295,-0.83365166,0.07357767,-0.12376517,-0.18865569,-0.143,-2.152272,2.0988867,-0.005062036,0.4826101,-0.06764889,-0.52040493,-4.4014,-0.0013504922,1.6846366,-0.8094648,0.619708,-0.14650926,1.4001458,4.8258657,-0.73399925,4.771057,-0.000279285,1.409409,0.45989883
10051,0.041756943,-0.8579003,0.44514406,-0.36898375,0.32457563,0.025522172,0.4943236,-0.049614504,0.06576344,0.872746,-1.42295,-9.880202,-0.36054358,-1.507335,-7.267871,-4.232231,-5.381012,-0.0040999986,-10.0,-10.0,-8.703535,-9.545271,-2.419121,-2.092551,-0.37323648,-1.2498765,0.056781545,-0.09871701,-2.1636624,-0.32932174,-1.211622,-2.28405,-1.7813346,-4.4153748,0.051338613,0.41414168,-2.7847288,-0.3030445,-0.634,0.5098612,-4.34116,-0.46226397,-0.7992092,-4.6196513,-1.1525289,-9.731334,-1.3609793,-5.166292,-5.970481,-8.653574,-4.450549,-2.3128808,-3.0882044,-3.7216048,-3.3823714,-3.0222068,0.6323372,-2.0086846,-0.485273,-1.2270306,0.12308417,-0.18803272,-1.6218611,-0.31315,0.14562812,0.27560747,0.24561018,0.75613153,0.6949934,-3.953919,-3.0423632,-0.31936222,0.062983334,0.78077126,0.65953416,-8.631147,-9.410617,-3.8324234,0.19294882,-0.17231618,0.041967925,0.15394068,-0.319687,3.6387,4.7558117,-0.61489785,-0.6439052,-0.87340605,-0.82750785,0.33012187,-2.8985,-0.09598224,0.65719014,-0.9078381,-0.20523435,0.20440985,-4.2551613,-2.9575968,-1.4802129,-8.015867,0.72191656,-0.6005434,0.24009839
10057,0.13171944,0.81270826,-0.46757007,3.8563724,-0.69972014,-1.4600985,-0.02315548,0.9389597,1.1965134,1.1020259,-0.97145003,0.7776934,3.423985,3.6584837,-0.05035162,-0.48269013,-1.8023074,0.6564,2.49875,0.049798608,1.4783802,2.1504939,0.73702615,4.0451803,1.4201083,0.8443053,0.645162,0.2490679,-0.47435173,-0.36612612,-0.46697852,-0.95634997,0.21049917,0.07132034,4.6674724,1.4960904,0.18043989,0.9325912,-0.64745003,-0.93636477,1.7439797,-0.24795479,-0.5856759,-0.121777155,-0.101465166,3.4887395,-0.22091275,1.5935153,-0.17658076,0.8996025,1.2460696,0.18618882,0.608141,-0.49656385,0.4723174,-0.7253958,-0.68506557,0.64064795,0.62521666,-0.1900025,-0.6839027,-1.013518,0.21691684,-1.87235,-1.7247925,0.4408106,-0.1903213,-0.47937274,0.16779289,4.3561654,4.21612,0.213078,0.3770781,0.8642045,3.311268,3.2334075,2.0850027,1.8672054,-0.1972102,0.49029312,-0.013782486,-0.42614114,-0.54655886,-1.89735,-6.228686,0.057338312,0.116214834,0.36973742,0.62324494,-0.21931854,1.73405,-0.5146284,0.6619751,0.034616496,1.0397675,0.561366,0.084626526,4.581222,0.9401366,3.2454095,0.07767564,-0.36357635,-0.02701734
10058,-1.3338791,0.9403525,-0.12188974,0.43126595,-0.33660704,-0.124079235,-0.7997396,4.8488245,0.5748623,-1.6243141,0.7759,2.5229805,0.27402005,-1.8179662,1.0247428,0.2807861,-0.05308497,0.1834,-0.5596,-1.0461586,0.54943115,-0.38906816,4.0153275,1.9936118,1.8375908,3.4470036,-0.1962055,-0.59025896,0.7751115,-0.014007121,1.8247242,5.1236,2.375534,4.0493326,3.5426774,-0.9799572,5.120072,0.74507046,-0.8019,1.3724475,2.9794855,0.774225,0.43473083,-0.96767247,1.844781,-1.8690757,-0.5113679,3.6763818,3.196791,3.7559905,-3.1061327,-2.933939,-2.093637,0.10455576,-0.03242156,1.8231425,0.14796856,-0.63343245,-1.4830999,0.88000655,0.17547786,0.2695887,-0.403386,-1.28985,0.6646303,-1.0336034,-0.15800223,0.54669595,-0.5584295,-1.3819042,-0.48037174,2.1519172,-0.02875314,0.7297913,1.9877943,-0.25611037,2.5601974,-1.2063377,0.43461698,-0.7691741,-0.32591102,0.045517035,0.46097603,-3.7275,-1.08003,0.5596995,0.6975563,-0.6291214,1.9311695,-0.6952852,3.05625,-0.18303277,-0.30911925,0.5263549,4.029727,0.7608942,-3.1361794,1.0516459,-0.65126926,1.9691064,-0.017686293,-1.8127317,-2.8940997
10059,-0.7629843,-0.5027836,-0.34710935,-0.79357904,-0.54565096,0.013773322,0.9847851,-2.1475174,0.7030805,-0.33119053,-0.29075003,-5.350426,-0.28006694,-2.9163227,-3.362555,-2.151618,-3.6268458,-0.66115004,-2.796,-4.4497337,-0.60719144,-2.3024406,-1.3469535,-0.488209,-1.749542,-1.9049628,0.16410549,-0.15198787,-0.9089582,0.20798331,-0.26528236,-0.47139996,-0.4568779,-0.02143564,1.6672359,-0.23989919,-3.5505936,0.27460772,-0.47224998,-0.21226242,-1.1545792,-0.6056173,-1.1339445,-1.6812792,-0.8550565,-2.3185308,-0.8713156,2.3269114,1.5268914,-0.038744003,0.087933585,-0.71650624,-1.4381859,-3.4783416,-0.42772317,-2.1108956,0.037467457,-5.1333723,0.3825913,0.48313242,-0.22778922,-0.22501394,-2.5750794,-1.94245,-3.9358692,-1.0606443,0.6472441,-0.5125227,0.20232874,1.4330838,0.3749348,-0.43995336,-0.5513128,0.8550769,1.0770993,-5.7428355,-7.8718452,-1.252696,0.48852035,-0.4636915,0.13063864,0.33701497,0.64455545,0.66824996,-0.2540295,-0.916006,-0.43404776,0.10282645,0.4794687,0.23464692,-3.1371,-0.029283963,0.7174257,-0.726556,0.7029673,0.04620728,-1.9934022,2.3183289,0.13870025,-5.3959794,-0.14266522,-0.014713764,-0.5594256
