,ST16924,ST17220,ST17530,ST17589,ST17626,ST17700,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25613,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25945,ST25947,ST25956,ST25968,ST25998,ST26024,ST26044,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26349,ST26374,ST26376,ST26526,ST26528,ST26628,ST26673,ST26678,ST26745,ST26764,ST26988,ST26992,ST27049,ST27058,ST27219,ST27223,ST27280,ST27284,ST27403,ST27494,ST27522,ST27526,ST27540,ST27602,ST28016,ST364,ST377,ST403,ST609,ST61,ST610,ST621,ST647,ST652,ST689,ST823,ST967
10099,-0.85374045,-0.47229984,2.768746,-0.3670082,0.26587927,0.24233882,0.38304842,0.07605949,1.809474,2.1721156,-0.08199302,0.6061639,-0.7902881,1.5983429,-4.8462,1.0790561,1.7209773,0.61872816,1.2759637,1.3011512,1.181891,2.355064,-0.68161976,0.6304933,-0.254263,0.68644136,-0.5681211,-0.002058342,0.8812593,0.870901,1.0030463,4.2035856,0.11331542,0.31881845,-0.3606012,0.8702762,-0.35211474,1.1541367,0.1167354,-0.50884956,1.5712352,-0.042995006,-0.54871863,-0.08165914,0.6109679,0.11274105,0.4332368,1.4210902,1.1830145,1.3040786,1.5382438,1.6606948,-0.05456227,-0.034029298,2.440279,-0.35263863,0.5000208,-0.54137266,-0.44611448,-2.0227697,-2.1551266,0.49795187,-0.53687555,-1.4028325,0.23353383,-5.1331797,-7.0888963,0.18097113,-1.2822727,0.16618165,0.34246725,-0.71266305,0.02409345,-2.3282967,-0.49858293,0.009057827,0.033764668,-1.3110838,-0.65478444,-1.1355777,0.23916054,-0.019749999,-9.0124,-1.1363814,-0.4099704,-0.0019148886,0.47638702,-0.8063295,0.016066827,-0.08143316,1.1353687,-0.65771663,-0.035207115,-0.58672154,-0.6041057,2.3127773,0.6561844,1.85595,-0.24613552,0.9390531,0.85229486
10112,-0.22533274,-5.713066,1.453561,-0.06878391,0.31595314,-4.107275,-0.2297319,-2.6696496,-7.685917,-0.06739592,0.09157869,-5.2809496,-4.6552367,-9.122044,-8.3605,0.78835195,-0.81777525,-9.72419,-5.391756,-7.845147,-2.6609502,0.5693133,3.4845624,-3.596847,-0.21666028,-0.35024527,-1.645884,-3.5446348,0.44734892,-0.027444154,-1.3675001,-3.301034,-1.3147032,-6.779786,-0.0032762643,-0.43653584,0.12533395,-3.9640307,-0.29447156,-0.014310524,-0.25159514,-1.0114334,-2.4125748,-2.74974,-8.695152,-8.636667,-10.0,-6.1359043,-1.7603434,-5.598427,-1.9862996,-0.10808812,-1.809881,0.44075355,-3.7346401,-1.553375,-0.14220156,0.54422665,0.23506516,-0.4421084,0.5408559,0.7260876,0.3260521,0.28458378,0.33596373,-8.845599,-9.500141,-0.38821068,-0.41545916,0.004631666,-1.5414146,-0.3151139,-3.809651,-7.797891,-0.107209414,0.99187887,0.71059453,0.5490248,-0.24576056,-3.3027327,1.1383694,0.117800005,-3.3955998,1.0401105,-0.21885502,-0.19983646,0.031740457,-1.0914927,0.7523516,0.3652956,-3.9039817,-2.140823,0.60185677,-1.2807426,-2.6264193,-6.085105,-3.5033548,-3.1162,0.11356216,-2.0152462,0.05038035
10123,2.481353,0.3197206,0.5533617,-0.6813377,-0.6974169,1.9164646,1.6774731,1.0748976,6.239776,0.22559828,-0.6221896,1.3439417,2.165974,1.2513385,4.8194,-0.9651141,6.6711473,5.5520163,-0.30410606,5.6843953,-0.4759286,0.3382298,0.7480643,1.5402958,-0.501929,0.6832824,-0.036774967,-0.42698136,1.471876,-0.6334415,0.035986952,2.0432217,0.00592345,1.2473094,-0.86076504,-0.30144066,0.81344026,2.176579,0.029613584,0.07404087,-0.16766876,1.0953864,3.5944078,1.8669038,2.2939196,3.3120885,3.7716718,0.8641294,0.43445134,1.7631997,0.28432056,0.6819726,0.3020248,-0.22702043,1.435837,1.4040737,-0.65517,-0.9769789,0.70111895,3.2900777,2.328163,2.4195035,-0.115674034,-0.7287265,-0.8494172,4.9155707,5.740895,-1.0142566,0.085386485,-0.7614989,-0.15791571,0.12038298,3.2619028,5.600033,-0.45838425,-0.57219493,-0.67763233,-1.1046034,-0.5992836,0.14641541,0.29596928,-0.11985001,3.50145,-0.5755966,1.2535036,0.927431,-0.27821606,0.38222787,-0.107970834,-0.82333326,0.8419745,0.23572014,-0.31895828,0.42207968,1.5888064,2.3143353,0.6452027,7.51785,-0.86304516,1.7480187,-0.1774633
10131,-0.4939292,-0.8893934,1.4725052,0.25376877,0.6091764,-1.1812835,0.02660197,-0.28324872,4.725361,1.4715366,-0.34963286,-0.18996845,-0.2844596,1.0010619,1.74155,0.31042302,4.6067276,2.4049044,0.4993259,4.094353,1.01003,0.24138537,-0.34213835,0.07230207,-0.6046152,-1.4860789,-0.27281952,0.13166167,-1.2083254,0.4553905,-0.5169432,1.4738524,0.58906823,1.489585,0.8997927,0.7684129,-0.78718066,-2.6792588,0.10242246,-0.5433722,0.006550424,-1.567508,-1.660121,0.94074917,2.691862,0.66673744,1.026511,1.8948997,0.63494647,1.7270603,0.87537944,-0.30558506,0.27800223,-0.047079396,0.20792839,-0.89723086,0.087760136,0.2010186,0.06142974,-1.0884109,-1.3748063,-0.105784975,-0.8177606,0.4882235,1.2067467,1.0375922,-1.1927874,-0.27289504,-1.369522,0.39393073,-0.17861281,-1.2075815,0.9822568,3.2245977,0.45651537,0.1707183,-0.07933979,0.19912115,-0.056109514,-0.35056677,-0.8046501,-0.5677,-1.67845,-0.45628917,-1.3960392,-1.4783088,-0.032425642,-0.476053,0.023766413,0.3523386,-0.18378925,0.2295866,-0.11327084,-1.2797496,-1.573292,0.9680648,0.081875645,3.21915,-1.0446107,0.6050743,0.5870687
10146,-3.093779,-1.0267056,-1.9289061,-0.23586951,0.97387004,-1.9845798,-2.5988405,-1.1391389,-8.282239,-2.261157,0.6231537,-1.7043625,-3.6173248,-8.257796,-10.0,-0.064686924,-7.0036573,-6.4154787,-1.1968397,-8.6426525,-0.9810678,-1.7940171,-1.2696209,-2.5499763,0.26794663,0.49918237,-0.9584984,-0.07840475,-2.0081077,-1.178768,-4.287077,-0.11627286,-0.17840222,-2.050014,0.39353317,-0.46514243,-0.5440224,-1.8543997,0.13390054,-0.3001194,-0.16599403,-0.16468039,-5.259365,0.09848308,-2.0360026,-5.755233,-3.6699405,-1.8956306,-0.38319853,-1.0883201,-0.10956736,-1.0321844,-0.101833954,0.2549473,-1.8298095,0.65335053,-0.9602067,0.20766091,-1.7885067,-5.09779,-4.53809,-0.8809229,0.8964742,0.19212362,0.91702604,-5.150871,-5.899452,0.90693176,0.15594274,0.35656604,-1.23862,0.68553096,-7.764185,-4.5263247,0.2619503,0.23526853,0.44974673,-0.35698074,-0.3837724,-0.12491688,0.36131716,-0.6419,-6.3003,0.37872204,-0.07608661,0.40924457,0.93376255,-0.69173265,0.12414253,-0.04427865,-1.0671849,1.1953119,0.7954834,-0.014948096,2.0894065,-2.0593832,-1.0992091,-8.3687,0.58779407,-1.2119678,-0.7868571
10150,1.0472518,0.22548877,2.0369618,0.5925365,0.24733204,0.29321063,-0.30980352,-0.19872384,-0.16669714,2.1798463,-0.051577926,-0.28264308,2.0938888,0.87219924,0.49800003,0.4729504,-0.990736,-2.364643,1.4758708,-1.6287808,0.919438,2.1985164,0.9421004,-0.3604276,0.31662798,-0.3563981,-0.085729,0.9897225,1.2081257,0.5675571,2.2442153,-0.11601716,0.1394017,2.8793411,0.32248485,0.25110307,0.04949391,1.7940593,1.0538872,-0.009177983,-0.030495256,0.1354317,0.81671596,1.1548998,-1.5148351,1.1699967,0.40674174,0.37371027,-0.16640604,0.43391502,-1.0178826,-0.733551,-0.03073065,-0.11414013,-0.24950965,-0.19294168,-0.15422449,0.04633541,1.0653689,-0.3570828,0.22193027,0.9863416,0.06587559,0.22730546,1.0686893,1.5331594,1.4211612,0.26232478,0.7996103,0.4901312,-0.6139899,-0.17780474,-2.0132341,-0.4628642,0.6026211,-0.30948728,0.95033294,0.49919412,0.27695966,0.048616126,0.18572259,-0.50049996,3.2059002,0.9393031,-0.5727832,0.47771543,0.17963083,0.056679603,1.2114573,0.2911511,1.1717298,0.25565,0.09709369,-0.49363288,0.28004116,1.751899,-0.48760617,-1.65165,-0.18939197,0.48402402,0.11965479
10153,-0.15185289,-0.20481661,0.986423,0.7407087,-0.7325156,0.36288372,-0.15869911,0.72542036,-6.023358,-0.43714064,-0.30610576,0.60625505,-1.1818318,-0.05080521,0.077550024,0.18548182,-3.7472098,-0.0031497627,0.17810158,-5.1542497,0.15135418,-0.22561574,0.7992162,-0.87011504,0.6470581,0.697501,-0.7265168,0.69702816,-0.3379485,0.083522946,-0.23430881,-0.9369405,0.54435486,-0.7723717,-0.4687952,-0.44296595,0.40637243,-0.82054555,-0.19839098,-0.61102027,-0.6204853,0.8177312,-1.6869075,0.0071587563,-1.5391111,-1.522025,0.47693288,-0.5692524,0.5589825,0.35203946,0.8212537,0.120648295,-0.26711532,0.3887729,-0.65329957,-0.42391348,-0.8174468,0.7236124,0.23899266,0.51081675,0.068055004,0.71395266,-0.13005358,0.8122984,0.8033775,0.8957505,0.89646876,0.67870617,-0.47705087,0.31493947,-0.72847384,0.6621206,0.78816056,-3.240867,-0.2417626,0.6094707,0.04378742,-0.27761495,0.50714254,-0.6873691,0.31288278,-0.13815,1.794,0.36484095,0.15133697,-0.7549715,0.35438013,-0.60119426,-0.036654755,0.20794858,-0.72676015,-0.506711,1.0738633,0.058913857,0.76175004,-0.6646844,0.2803883,-5.5810003,0.28672406,-0.14301215,-0.036815792
10165,-0.29770145,-1.7034729,-0.6289891,-0.95346564,0.53778005,-2.9800668,-0.34292305,0.7687805,-5.5972567,-1.1157496,0.6906361,-1.6721503,-1.2648382,-2.7090266,-3.58,-0.24162424,-5.0800705,-4.3352766,0.59073794,-4.9660707,-0.027587123,-0.40656593,-0.064646184,-0.42249623,-0.030841008,0.2567194,-0.82205,-0.25460988,-0.45376223,-0.06549184,0.6708919,-2.6016798,-0.46871114,-1.3142436,0.7713171,-0.55767506,0.8815578,-0.6359709,-0.3212993,-1.5483207,-1.0740169,-0.6975175,-0.9141635,-2.730844,-1.4340067,-4.9035606,-3.2594557,-1.6897466,-1.0514984,-1.040412,-1.5237582,-1.4365742,0.6040523,0.66946965,-0.8094888,0.6158255,-0.293885,-0.047633633,-0.7989886,-1.0979954,-1.3652774,-0.08729532,1.0379696,0.2691421,0.7198532,-3.1587067,-2.951696,0.5489957,-0.79076517,0.18898307,-0.8649558,0.11069528,-6.334281,-4.132623,-0.6551171,0.7831249,-0.10801968,-0.17683075,0.26416638,-0.02917094,0.5281935,0.18959999,-1.2763,-0.43681347,-1.3296058,-1.539043,-0.55736136,-1.7091943,0.9063,0.60440266,-0.10693701,-1.7900145,0.5902717,0.3238384,-1.7888298,-1.2990606,-1.5400499,-3.2684,0.36217228,-1.0901142,-0.20464718
1017,-3.5619113,1.6611674,-3.148061,-0.19157892,0.1922895,4.8091803,-2.2516313,-1.6944008,-5.136616,-3.3195157,0.24937856,-4.880463,-2.86377,-5.7142115,-6.2437,0.9429707,-1.5395002,-1.082892,-1.6895249,0.68009305,0.7321606,-3.5557299,-0.85600424,-2.2539763,0.09665722,0.07642037,-1.2273023,0.23582634,-0.3600079,-0.3117307,-1.164227,-5.602408,-0.4060071,-4.1005363,0.44829875,0.567158,-0.7385202,-3.1135483,-0.50354016,-0.093004055,-0.19706978,-0.4599042,-3.7962747,-1.7596469,-6.2968764,-0.47175223,-1.2072666,-3.5234673,-1.0937912,-5.3410516,-0.20455343,0.11800492,0.36536747,0.70798063,-2.9005532,0.12930483,-0.48036218,0.4719517,-0.98064893,3.0871682,2.8966951,-2.700257,0.49017075,-0.17756078,0.28373265,-2.530097,-0.90463895,0.61485314,-0.35874218,-0.022253588,0.57842666,0.16326734,4.466133,-0.9065265,-0.58967817,0.11412093,0.24973226,-0.596816,0.37314355,-0.30730438,0.3768512,0.63635,-2.3116,-0.7692103,1.116994,-0.56327766,-0.69510293,-1.0266377,-0.5876336,-0.06333381,0.49639863,-0.055536196,0.16236284,-0.22576018,-0.16544941,-4.275865,1.5411216,-0.73599994,0.05169215,-2.7034183,-0.20746472
10174,-1.2426457,1.0161363,1.008646,0.17554612,0.4617094,1.513263,-2.3218145,-2.584359,-2.515385,0.13943167,0.64647865,-2.3486466,1.7984525,0.55433834,-1.0487,1.0200273,-1.5285985,-3.8194852,-0.8030721,-0.2684595,0.7058138,0.96676224,1.0238901,-1.5733225,0.28465378,-0.17380884,1.400442,0.14073731,-1.7422653,1.1754782,-0.06215976,-7.7201424,-0.025143117,-0.24943519,-2.056169,0.26721907,0.2920391,-2.653574,0.5558586,0.8369477,0.23298706,-0.39824378,1.104311,-1.7651951,-4.032352,-9.5617,-5.0508623,1.2151635,1.3654525,1.3514183,-0.36541307,-0.88195467,-1.5091197,-0.07347536,0.82723725,-0.36217314,0.440896,0.18000463,-1.313411,-0.3825696,-0.4598951,-0.27364725,0.046041522,0.42564547,0.25957105,-1.173919,-2.1756198,0.9894179,-0.35490483,0.53634214,0.18110967,-0.78206205,0.36730412,-3.4732804,0.35928488,0.6391806,-0.39771914,0.93586767,-0.40082303,-0.5708003,0.32916653,-1.79035,-7.6672,0.2407769,-2.8134403,-0.14902312,-0.22373363,0.00996384,0.8070841,-0.0575338,-0.014607247,-1.6151792,0.40402645,-0.48590347,-2.6448512,1.1797583,1.3200138,-2.33595,-0.3868297,-1.4237242,2.6375775
